"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","KA1","KA2","MA1","MD1","OC1","OD1","REM","EQD"
"01017099999","2023-01-01T22:00:00","4","77.6833333","14.7833333","6.0","AKSELOYA, SV","FM-12","99999","V020","070,1,N,0176,1","99999,9,9,9","999999,9,9,9","-0012,1","-0021,1","09960,1",,,"99999,9,09937,1","5,1,007,1,+999,9","0233,1","9,99,0194,1,999","SYN004BUFR",
"01017099999","2023-01-10T13:00:00","4","77.6833333","14.7833333","6.0","AKSELOYA, SV","FM-12","99999","V020","071,1,N,0157,1","99999,9,9,9","999999,9,9,9","-0007,1","-0024,1","09902,1","120,M,-0005,1","120,N,-0009,1","99999,9,09878,1","7,1,026,1,+999,9","0178,1","9,99,0161,1,999","SYN004BUFR",
"01017099999","2023-01-12T07:00:00","4","77.6833333","14.7833333","6.0","AKSELOYA, SV","FM-12","99999","V020","049,1,N,0083,1","99999,9,9,9","999999,9,9,9","-0025,1","-0040,1","09907,1","120,M,-0026,1","120,N,-0030,1","99999,9,09884,1","7,1,009,1,+999,9","0092,1","9,99,0085,1,999","SYN004BUFR",
"01017099999","2023-01-12T08:00:00","4","77.6833333","14.7833333","6.0","AKSELOYA, SV","FM-12","99999","V020","054,1,N,0083,1","99999,9,9,9","999999,9,9,9","-0022,1","-0037,1","09905,1","120,M,-0023,1","120,N,-0027,1","99999,9,09882,1","7,1,010,1,+999,9","0095,1","9,99,0086,1,999","SYN004BUFR",
"01017099999","2023-01-12T09:00:00","4","77.6833333","14.7833333","6.0","AKSELOYA, SV","FM-12","99999","V020","058,1,N,0108,1","99999,9,9,9","999999,9,9,9","-0020,1","-0039,1","09902,1","120,M,-0020,1","120,N,-0024,1","99999,9,09879,1","7,1,009,1,+999,9","0120,1","9,99,0109,1,999","SYN004BUFR",
"01017099999","2023-01-20T21:00:00","4","77.6833333","14.7833333","6.0","AKSELOYA, SV","FM-12","99999","V020","261,1,N,0056,1","99999,9,9,9","999999,9,9,9","-0015,1","-0023,1","09989,1",,,"99999,9,09965,1","1,1,023,1,+999,9","0086,1","3,99,9999,9,999","SYN004BUFR",
"01017099999","2023-01-21T20:00:00","4","77.6833333","14.7833333","6.0","AKSELOYA, SV","FM-12","99999","V020","083,1,N,0086,1","99999,9,9,9","999999,9,9,9","-0035,1","-0073,1","10052,1",,,"99999,9,10028,1","6,1,036,1,+999,9","0138,1","9,99,0103,1,999","SYN004BUFR",
"01017099999","2023-01-22T00:00:00","4","77.6833333","14.7833333","6.0","AKSELOYA, SV","FM-12","99999","V020","136,1,N,0182,1","99999,9,9,9","999999,9,9,9","-0014,1","-0050,1","09970,1",,,"99999,9,09947,1","7,1,067,1,+999,9","0230,1","3,99,9999,9,999","SYN004BUFR",
"01017099999","2023-01-27T22:00:00","4","77.6833333","14.7833333","6.0","AKSELOYA, SV","FM-12","99999","V020","065,1,N,0204,1","99999,9,9,9","999999,9,9,9","-0064,1","-0088,1","09873,1",,,"99999,9,09849,1","6,1,023,1,+999,9","0236,1","9,99,0207,1,999","SYN004BUFR",
"01017099999","2023-01-28T21:00:00","4","77.6833333","14.7833333","6.0","AKSELOYA, SV","FM-12","99999","V020","063,1,N,0150,1","99999,9,9,9","999999,9,9,9","-0035,1","-0061,1","09837,1",,,"99999,9,09814,1",,"0162,1","3,99,9999,9,999","SYN004BUFR","Q014     3APCTENQ02.3    3APC3  "
