"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","KA1","KA2","OC1","OD1","REM","EQD"
"01042099999","2023-01-02T12:00:00","4","70.6","22.45","438.0","HASVIK SLUSKFJELLET, NO","FM-12","99999","V020","187,1,N,0042,1","99999,9,9,9","999999,9,9,9","-0010,1","-0033,1","99999,9","120,M,-0008,1","120,N,-0016,1","0058,1","9,99,0080,1,999","SYN004BUFR",
"01042099999","2023-01-07T01:00:00","4","70.6","22.45","438.0","HASVIK SLUSKFJELLET, NO","FM-12","99999","V020","137,1,N,0159,1","99999,9,9,9","999999,9,9,9","-0060,1","-0079,1","99999,9","120,M,-0051,1","120,N,-0060,1","0189,1","9,99,0163,1,999","SYN004BUFR",
"01042099999","2023-01-12T07:00:00","4","70.6","22.45","438.0","HASVIK SLUSKFJELLET, NO","FM-12","99999","V020","186,1,N,0079,1","99999,9,9,9","999999,9,9,9","-0050,1","-0058,1","99999,9","120,M,-0051,1","120,N,-0052,1","0100,1","9,99,0082,1,999","SYN004BUFR",
"01042099999","2023-01-12T08:00:00","4","70.6","22.45","438.0","HASVIK SLUSKFJELLET, NO","FM-12","99999","V020","195,1,N,0074,1","99999,9,9,9","999999,9,9,9","-0045,1","-0054,1","99999,9","120,M,-0046,1","120,N,-0051,1","0095,1","9,99,0086,1,999","SYN004BUFR",
"01042099999","2023-01-12T09:00:00","4","70.6","22.45","438.0","HASVIK SLUSKFJELLET, NO","FM-12","99999","V020","182,1,N,0062,1","99999,9,9,9","999999,9,9,9","-0037,1","-0054,1","99999,9","120,M,-0037,1","120,N,-0046,1","0087,1","9,99,0086,1,999","SYN004BUFR",
"01042099999","2023-01-12T16:00:00","4","70.6","22.45","438.0","HASVIK SLUSKFJELLET, NO","FM-12","99999","V020","223,1,N,0105,1","99999,9,9,9","999999,9,9,9","-0020,1","-0028,1","99999,9","120,M,-0021,1","120,N,-0025,1","0131,1","9,99,0113,1,999","SYN004BUFR",
"01042099999","2023-01-12T20:00:00","4","70.6","22.45","438.0","HASVIK SLUSKFJELLET, NO","FM-12","99999","V020","223,1,N,0105,1","99999,9,9,9","999999,9,9,9","-0019,1","-0026,1","99999,9","120,M,-0018,1","120,N,-0020,1","0117,1","9,99,0107,1,999","SYN004BUFR",
"01042099999","2023-02-14T10:00:00","4","70.6","22.45","438.0","HASVIK SLUSKFJELLET, NO","FM-12","99999","V020","252,1,N,0174,1","99999,9,9,9","999999,9,9,9","+0022,1","+0021,1","99999,9","120,M,+0025,1","120,N,+0003,1","0238,1","9,99,0174,1,999","SYN004BUFR",
"01042099999","2023-02-14T11:00:00","4","70.6","22.45","438.0","HASVIK SLUSKFJELLET, NO","FM-12","99999","V020","250,1,N,0171,1","99999,9,9,9","999999,9,9,9","+0027,1","+0026,1","99999,9","120,M,+0029,1","120,N,+0022,1","0289,1","9,99,0222,1,999","SYN004BUFR",
"01042099999","2023-02-14T12:00:00","4","70.6","22.45","438.0","HASVIK SLUSKFJELLET, NO","FM-12","99999","V020","243,1,N,0218,1","99999,9,9,9","999999,9,9,9","+0026,1","+0025,1","99999,9","120,M,+0028,1","120,N,+0025,1","0284,1","9,99,0222,1,999","SYN004BUFR",
