"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","KA1","KA2","MA1","MD1","OC1","OD1","OD2","REM","EQD"
"01259099999","2023-01-06T03:00:00","4","64.4","10.45","18.42","BUHOLMRASA LH, NO","FM-12","99999","V020","125,1,N,0238,1","99999,9,9,9","999999,9,9,9","-0019,1","-0077,1","10082,1","120,M,-0018,1","120,N,-0023,1","99999,9,10059,1","8,1,016,1,+999,9","0316,1","3,99,9999,9,999",,"SYN004BUFR",
"01259099999","2023-01-07T01:00:00","4","64.4","10.45","18.42","BUHOLMRASA LH, NO","FM-12","99999","V020","142,1,N,0147,1","99999,9,9,9","999999,9,9,9","+0005,1","-0069,1","09989,1","120,M,+0004,1","120,N,-0003,1","99999,9,09966,1","0,1,006,1,+999,9","0227,1","9,99,0147,1,999",,"SYN004BUFR",
"01259099999","2023-01-10T13:00:00","4","64.4","10.45","18.42","BUHOLMRASA LH, NO","FM-12","99999","V020","153,1,N,0102,1","99999,9,9,9","999999,9,9,9","+0056,1","-0004,1","09958,1","120,M,+0060,1","120,N,+0056,1","99999,9,09936,1","5,1,000,1,+999,9","0121,1","3,99,0121,1,136","9,99,0102,1,999","SYN004BUFR",
"01259099999","2023-01-11T10:00:00","4","64.4","10.45","18.42","BUHOLMRASA LH, NO","FM-12","99999","V020","142,1,N,0153,1","99999,9,9,9","999999,9,9,9","+0050,1","+0007,1","09764,1","120,M,+0049,1","120,N,+0042,1","99999,9,09742,1","6,1,029,1,+999,9","0242,1","9,99,0172,1,999",,"SYN004BUFR",
"01259099999","2023-01-11T21:00:00","4","64.4","10.45","18.42","BUHOLMRASA LH, NO","FM-12","99999","V020","146,1,N,0139,1","99999,9,9,9","999999,9,9,9","+0072,1","-0009,1","09759,1","120,M,+0075,1","120,N,+0070,1","99999,9,09737,1","6,1,008,1,+999,9","0188,1","9,99,0141,1,999",,"SYN004BUFR",
"01259099999","2023-01-12T04:00:00","4","64.4","10.45","18.42","BUHOLMRASA LH, NO","FM-12","99999","V020","167,1,N,0137,1","99999,9,9,9","999999,9,9,9","+0047,1","+0026,1","09735,1","120,M,+0051,1","120,N,+0046,1","99999,9,09713,1","8,1,015,1,+999,9","0187,1","9,99,0149,1,999",,"SYN004BUFR",
"01259099999","2023-01-12T06:00:00","4","64.4","10.45","18.42","BUHOLMRASA LH, NO","FM-12","99999","V020","209,1,N,0173,1","99999,9,9,9","999999,9,9,9","+0060,1","+0053,1","09736,1","120,M,+0081,1","120,N,+0039,1","99999,9,09714,1","5,1,010,1,+999,9","0236,1","9,99,0184,1,999",,"SYN004BUFR",
"01259099999","2023-01-12T07:00:00","4","64.4","10.45","18.42","BUHOLMRASA LH, NO","FM-12","99999","V020","220,1,N,0185,1","99999,9,9,9","999999,9,9,9","+0065,1","+0044,1","09744,1","120,M,+0064,1","120,N,+0059,1","99999,9,09722,1","3,1,010,1,+999,9","0247,1","9,99,0185,1,999",,"SYN004BUFR",
"01259099999","2023-01-12T08:00:00","4","64.4","10.45","18.42","BUHOLMRASA LH, NO","FM-12","99999","V020","222,1,N,0171,1","99999,9,9,9","999999,9,9,9","+0060,1","+0043,1","09761,1","120,M,+0064,1","120,N,+0060,1","99999,9,09739,1","3,1,031,1,+999,9","0249,1","9,99,0190,1,999",,"SYN004BUFR",
"01259099999","2023-01-12T21:00:00","4","64.4","10.45","18.42","BUHOLMRASA LH, NO","FM-12","99999","V020","267,1,N,0054,1","99999,9,9,9","999999,9,9,9","+0045,1","+0016,1","09864,1","120,M,+0057,1","120,N,+0036,1","99999,9,09842,1","3,1,014,1,+999,9","0132,1","9,99,0100,1,999",,"SYN004BUFR",
"01259099999","2023-01-30T07:00:00","4","64.4","10.45","18.42","BUHOLMRASA LH, NO","FM-12","99999","V020","343,1,N,0212,1","99999,9,9,9","999999,9,9,9","+0042,1","+0012,1","09779,1","120,M,+0042,1","120,N,+0031,1","99999,9,09757,1","3,1,067,1,+999,9","0294,1","9,99,0246,1,999",,"SYN004BUFR",
"01259099999","2023-01-30T11:00:00","4","64.4","10.45","18.42","BUHOLMRASA LH, NO","FM-12","99999","V020","329,1,N,0185,1","99999,9,9,9","999999,9,9,9","+0040,1","+0004,1","09849,1","120,M,+0048,1","120,N,+0024,1","99999,9,09827,1","1,1,047,1,+999,9","0253,1","9,99,0199,1,999",,"SYN004BUFR",
"01259099999","2023-02-06T08:00:00","4","64.4","10.45","18.42","BUHOLMRASA LH, NO","FM-12","99999","V020","182,1,N,0102,1","99999,9,9,9","999999,9,9,9","+0062,1","+0022,1","10274,1","120,M,+0063,1","120,N,+0057,1","99999,9,10251,1","6,1,015,1,+999,9","0143,1","9,99,0108,1,999",,"SYN004BUFR",
"01259099999","2023-02-09T11:00:00","4","64.4","10.45","18.42","BUHOLMRASA LH, NO","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+0022,1","+0005,1","09920,1","120,M,+0029,1","120,N,+0018,1","99999,9,09897,1","6,1,017,1,+999,9",,"9,99,0206,1,999",,"SYN004BUFR","Q0125.8  2WGOSPD"
"01259099999","2023-02-09T20:00:00","4","64.4","10.45","18.42","BUHOLMRASA LH, NO","FM-12","99999","V020","269,1,N,0225,1","99999,9,9,9","999999,9,9,9","+0025,1","-0014,1","09911,1","120,M,+0029,1","120,N,+0011,1","99999,9,09888,1","3,1,015,1,+999,9","0310,1","9,99,0247,1,999",,"SYN004BUFR",
"01259099999","2023-02-09T21:00:00","4","64.4","10.45","18.42","BUHOLMRASA LH, NO","FM-12","99999","V020","288,1,N,0194,1","99999,9,9,9","999999,9,9,9","+0036,1","-0006,1","09928,1","120,M,+0038,1","120,N,+0021,1","99999,9,09905,1","3,1,030,1,+999,9","0263,1","9,99,0253,1,999",,"SYN004BUFR",
