"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","AA3","KA1","MA1","MD1","OD1","REM","EQD"
"06664099999","2023-01-01T00:00:00","4","47.4333333","8.5166666","441.0","ZUERICH AFFOLTERN, SZ","FM-12","99999","V020","210,1,N,0026,1","99999,9,9,N","999999,9,9,9","+0134,1","+0067,1","10228,1","01,0000,9,1","06,0000,9,1",,,"99999,9,09704,1","1,1,017,1,+999,9","3,99,0062,1,999","SYN09406664 06/// /2105 10134 20067 39704 40228 51017 60001 333 54/05 55300 20004 60005 90760 91112=",
"06664099999","2023-01-01T01:00:00","4","47.4333333","8.5166666","441.0","ZUERICH AFFOLTERN, SZ","FM-12","99999","V020","250,1,N,0010,1","99999,9,9,N","999999,9,9,9","+0142,1","+0069,1","10227,1","01,0000,9,1",,,,"99999,9,09705,1","2,1,011,1,+999,9","3,99,0067,1,999","SYN08806664 16/// /2502 10142 20069 39705 40227 52011 60005 333 54/05 55300 20000 90710 91113=",
"06664099999","2023-01-01T02:00:00","4","47.4333333","8.5166666","441.0","ZUERICH AFFOLTERN, SZ","FM-12","99999","V020","160,1,N,0005,1","99999,9,9,N","999999,9,9,9","+0112,1","+0066,1","10233,1","01,0000,9,1",,,,"99999,9,09705,1","2,1,004,1,+999,9","3,99,0026,1,999","SYN08806664 16/// /1601 10112 20066 39705 40233 52004 60005 333 54/15 55300 20007 90710 91105=",
"06664099999","2023-01-01T03:00:00","4","47.4333333","8.5166666","441.0","ZUERICH AFFOLTERN, SZ","FM-12","99999","V020","210,1,N,0026,1","99999,9,9,N","999999,9,9,9","+0114,1","+0065,1","10234,1","01,0000,9,1",,,,"99999,9,09706,1","2,1,002,1,+999,9","3,99,0067,1,999","SYN08806664 16/// /2105 10114 20065 39706 40234 52002 60005 333 54/15 55300 20004 90730 91113=",
"06664099999","2023-01-01T05:00:00","4","47.4333333","8.5166666","441.0","ZUERICH AFFOLTERN, SZ","FM-12","99999","V020","220,1,N,0031,1","99999,9,9,N","999999,9,9,9","+0135,1","+0067,1","10233,1","01,0000,9,1",,,,"99999,9,09709,1","2,1,004,1,+999,9","3,99,0051,1,999","SYN08806664 16/// /2206 10135 20067 39709 40233 52004 60005 333 54/05 55300 20004 90710 91110=",
"06664099999","2023-01-01T06:00:00","4","47.4333333","8.5166666","441.0","ZUERICH AFFOLTERN, SZ","FM-12","99999","V020","260,1,N,0031,1","99999,9,9,N","999999,9,9,9","+0130,1","+0066,1","10237,1","01,0000,9,1","12,0000,9,1","24,0000,9,1","240,N,+0081,1","99999,9,09712,1","2,1,006,1,+999,9","3,99,0077,1,999","SYN11206664 06/// /2606 10130 20066 39712 40237 52006 60002 333 20081 3/004 55035 55300 20004 60005 70000 90760 91115=",
"06664099999","2023-01-01T07:00:00","4","47.4333333","8.5166666","441.0","ZUERICH AFFOLTERN, SZ","FM-12","99999","V020","270,1,N,0036,1","99999,9,9,N","999999,9,9,9","+0131,1","+0063,1","10239,1","01,0000,9,1",,,,"99999,9,09714,1","2,1,005,1,+999,9","3,99,0088,1,999","SYN08206664 16/// /2707 10131 20063 39714 40239 52005 60005 333 55300 20004 90710 91117=",
"06664099999","2023-01-01T08:00:00","4","47.4333333","8.5166666","441.0","ZUERICH AFFOLTERN, SZ","FM-12","99999","V020","230,1,N,0046,1","99999,9,9,N","999999,9,9,9","+0143,1","+0060,1","10242,1","01,0000,9,1",,,,"99999,9,09719,1","2,1,010,1,+999,9","3,99,0113,1,999","SYN08806664 16/// /2309 10143 20060 39719 40242 52010 60005 333 54/05 55304 20090 90710 91122=",
"06664099999","2023-01-01T09:00:00","4","47.4333333","8.5166666","441.0","ZUERICH AFFOLTERN, SZ","FM-12","99999","V020","260,1,N,0036,1","99999,9,9,N","999999,9,9,9","+0141,1","+0062,1","10243,1","01,0000,9,1",,,,"99999,9,09720,1","2,1,008,1,+999,9","3,99,0113,1,999","SYN08806664 16/// /2607 10141 20062 39720 40243 52008 60005 333 54/05 55307 20367 90730 91122=",
"06664099999","2023-01-01T10:00:00","4","47.4333333","8.5166666","441.0","ZUERICH AFFOLTERN, SZ","FM-12","99999","V020","240,1,N,0051,1","99999,9,9,N","999999,9,9,9","+0149,1","+0061,1","10244,1","01,0000,9,1",,,,"99999,9,09722,1","2,1,008,1,+999,9","3,99,0098,1,999","SYN08806664 16/// /2410 10149 20061 39722 40244 52008 60005 333 54/05 55310 20659 90710 91119=",
