"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","OC1","OD1","REM"
"08936099999","2023-02-02T07:00:00","4","42.7","0.9666666","2467.0","CAP DE VAQUEIRA, SP","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,,"SYN004BUFR"
"08936099999","2023-02-02T08:00:00","4","42.7","0.9666666","2467.0","CAP DE VAQUEIRA, SP","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,,"SYN004BUFR"
"08936099999","2023-02-02T10:00:00","4","42.7","0.9666666","2467.0","CAP DE VAQUEIRA, SP","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,,"SYN004BUFR"
"08936099999","2023-02-25T23:00:00","4","42.7","0.9666666","2467.0","CAP DE VAQUEIRA, SP","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,,"SYN004BUFR"
"08936099999","2023-04-12T11:00:00","4","42.7","0.9666666","2467.0","CAP DE VAQUEIRA, SP","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,,"SYN004BUFR"
"08936099999","2023-07-28T01:00:00","4","42.7","0.9666666","2467.0","CAP DE VAQUEIRA, SP","FM-12","99999","V020","343,1,N,0034,1","99999,9,9,9","999999,9,9,9","+0082,1","+9999,9","99999,9",,"3,99,0040,1,346","SYN004BUFR"
"08936099999","2023-08-23T07:00:00","4","42.7","0.9666666","2467.0","CAP DE VAQUEIRA, SP","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,,"SYN004BUFR"
"08936099999","2023-08-23T08:00:00","4","42.7","0.9666666","2467.0","CAP DE VAQUEIRA, SP","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,,"SYN004BUFR"
"08936099999","2023-08-23T10:00:00","4","42.7","0.9666666","2467.0","CAP DE VAQUEIRA, SP","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+0206,1","+9999,9","99999,9",,,"SYN004BUFR"
"08936099999","2023-08-23T11:00:00","4","42.7","0.9666666","2467.0","CAP DE VAQUEIRA, SP","FM-12","99999","V020","259,1,N,0019,1","99999,9,9,9","999999,9,9,9","+0222,1","+0029,1","99999,9",,"3,99,0048,1,181","SYN004BUFR"
