"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AY1","AY2","AZ1","AZ2","GA1","GA2","GE1","GF1","KA1","KA2","MA1","MD1","ME1","MW1","REM","EQD"
"43133099999","2023-01-01T03:00:00","4","17.0","79.25","227.0","NALGONDA, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","004000,1,9,9","+0230,1","+0167,1","10066,1",,"0,1,02,1","0,1,02,1",,,,,,,"240,M,+0320,1","240,N,+0190,1","99999,9,09820,1","9,9,999,9,-002,1",,"05,1","SYN08043133 31996 00000 10230 20167 39820 40066 70500 333 10320 20190 59002 555 10000=",
"43133099999","2023-01-01T12:00:00","4","17.0","79.25","227.0","NALGONDA, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","010000,1,9,9","+0284,1","+0145,1","09994,1",,,,,,,,,,"240,M,+0325,1",,"99999,9,09748,1","9,9,999,9,-002,1",,,"SYN05843133 32997 00000 10284 20145 39748 49994 333 10325 59002=",
"43133099999","2023-01-02T03:00:00","4","17.0","79.25","227.0","NALGONDA, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","004000,1,9,9","+0214,1","+0175,1","10064,1",,"0,1,02,1","0,1,02,1",,,,,,,"240,M,+0325,1","240,N,+0194,1","99999,9,09818,1","9,9,999,9,-002,1",,"05,1","SYN08043133 31996 00000 10214 20175 39818 40064 70500 333 10325 20194 59002 555 10000=",
"43133099999","2023-01-02T12:00:00","4","17.0","79.25","227.0","NALGONDA, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","010000,1,9,9","+0274,1","+0132,1","09992,1",,,,,,,,,,"240,M,+0310,1",,"99999,9,09746,1","9,9,999,9,-002,1",,,"SYN05843133 32997 00000 10274 20132 39746 49992 333 10310 59002=",
"43133099999","2023-01-03T03:00:00","4","17.0","79.25","227.0","NALGONDA, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","004000,1,9,9","+0210,1","+0149,1","09990,1",,"0,1,02,1","0,1,02,1",,,,,,,"240,M,+0310,1","240,N,+0180,1","99999,9,09744,1","9,9,999,9,-002,1",,"05,1","SYN08043133 31996 00000 10210 20149 39744 49990 70500 333 10310 20180 59002 555 10000=",
"43133099999","2023-01-03T12:00:00","4","17.0","79.25","227.0","NALGONDA, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","010000,1,9,9","+0260,1","+0121,1","09990,1",,,,,,,,,,"240,M,+0300,1",,"99999,9,09744,1","9,9,999,9,-002,1",,,"SYN05843133 32997 00000 10260 20121 39744 49990 333 10300 59002=",
"43133099999","2023-01-04T03:00:00","4","17.0","79.25","227.0","NALGONDA, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","004000,1,9,9","+0204,1","+0164,1","10060,1",,"0,1,02,1","0,1,02,1",,,,,,,"240,M,+0300,1","240,N,+0184,1","99999,9,09742,1","9,9,999,9,-002,1",,"05,1","SYN08043133 31996 00000 10204 20164 39742 40060 70500 333 10300 20184 59002 555 10000=",
"43133099999","2023-01-04T12:00:00","4","17.0","79.25","227.0","NALGONDA, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","010000,1,9,9","+0254,1","+0127,1","09988,1",,,,,,,,,,"240,M,+0295,1",,"99999,9,09742,1","9,9,999,9,-002,1",,,"SYN05843133 32997 00000 10254 20127 39742 49988 333 10295 59002=",
"43133099999","2023-01-05T03:00:00","4","17.0","79.25","227.0","NALGONDA, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","004000,1,9,9","+0200,1","+0156,1","10058,1",,"0,1,02,1","0,1,02,1",,,,,,,"240,M,+0295,1","240,N,+0180,1","99999,9,09812,1","9,9,999,9,-002,1",,"05,1","SYN08043133 31996 00000 10200 20156 39812 40058 70500 333 10295 20180 59002 555 10000=",
"43133099999","2023-01-05T12:00:00","4","17.0","79.25","227.0","NALGONDA, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","010000,1,9,9","+0250,1","+0107,1","09986,1",,,,,,,,,,"240,M,+0285,1",,"99999,9,09740,1","9,9,999,9,-002,1",,,"SYN05843133 32997 00000 10250 20107 39740 49986 333 10285 59002=",
