"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","ED1","GA1","GA2","GA3","GA4","GE1","GF1","MA1","MW1","MW2","MW3","OC1","REM","EQD"
"47553099999","2023-01-01T00:00:00","4","38.411894","140.371331","107.59","YAMAGATA, JA","FM-15","99999","V020","260,1,V,0021,1","00610,1,C,N","009999,1,9,9","+0010,1","+0010,1","99999,9",,"02,1,+00091,1,99,9","04,1,+00610,1,99,9","07,1,+01067,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00091,1,99,9,99,9","10180,1,99999,9","83,1",,,,"MET112METAR RJSC 010000Z 26004KT 220V300 9999 -SHRASN FEW003 SCT020 BKN035 01/01 Q1018 RMK 1ST003 3CU020 6CU035 A3007=",
"47553099999","2023-01-01T01:00:00","4","38.411894","140.371331","107.59","YAMAGATA, JA","FM-15","99999","V020","999,9,C,0000,1","00762,1,C,N","009999,1,9,9","+0020,1","+0010,1","99999,9",,"02,1,+00183,1,99,9","04,1,+00762,1,99,9","07,1,+01219,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00183,1,99,9,99,9","10170,1,99999,9",,,,,"MET096METAR RJSC 010100Z 00000KT 9999 FEW006 SCT025 BKN040 02/01 Q1017 RMK 1ST006 3CU025 6CU040 A3005=",
"47553099999","2023-01-01T02:00:00","4","38.411894","140.371331","107.59","YAMAGATA, JA","FM-15","99999","V020","999,9,C,0000,1","00762,1,C,N","009999,1,9,9","+0020,1","+0010,1","99999,9",,"02,1,+00305,1,99,9","04,1,+00762,1,99,9","07,1,+01067,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00305,1,99,9,99,9","10160,1,99999,9","80,1",,,,"MET102METAR RJSC 010200Z 00000KT 9999 -SHRA FEW010 SCT025 BKN035 02/01 Q1016 RMK 1ST010 4CU025 7CU035 A3003=",
"47553099999","2023-01-01T03:00:00","4","38.411894","140.371331","107.59","YAMAGATA, JA","FM-15","99999","V020","999,9,V,0015,1","00457,1,C,N","009999,1,9,9","+0030,1","+0020,1","99999,9",,"02,1,+00152,1,99,9","04,1,+00457,1,99,9","07,1,+00610,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00152,1,99,9,99,9","10150,1,99999,9","80,1",,,,"MET071METAR RJSC 010300Z VRB03KT 9999 -SHRA FEW005 SCT015 BKN020 03/02 Q1015=",
"47553099999","2023-01-01T03:27:00","4","38.411894","140.371331","107.59","YAMAGATA, JA","FM-16","99999","V020","999,9,V,0010,1","00305,1,C,N","009999,1,9,9","+0030,1","+0020,1","99999,9",,"02,1,+00122,1,99,9","04,1,+00305,1,99,9","07,1,+00610,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00122,1,99,9,99,9","10150,1,99999,9","81,1",,,,"MET101SPECI RJSC 010327Z VRB02KT 9999 SHRA FEW004 SCT010 BKN020 03/02 Q1015 RMK 1ST004 3ST010 6CU020 A2999=",
"47553099999","2023-01-01T03:40:00","4","38.411894","140.371331","107.59","YAMAGATA, JA","FM-16","99999","V020","160,1,N,0021,1","00457,1,C,N","009999,1,9,9","+0030,1","+0020,1","99999,9",,"02,1,+00305,1,99,9","04,1,+00457,1,99,9","07,1,+00610,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00305,1,99,9,99,9","10150,1,99999,9","80,1",,,,"MET102SPECI RJSC 010340Z 16004KT 9999 -SHRA FEW010 SCT015 BKN020 03/02 Q1015 RMK 1ST010 3CU015 6CU020 A2999=",
"47553099999","2023-01-01T04:00:00","4","38.411894","140.371331","107.59","YAMAGATA, JA","FM-15","99999","V020","999,9,V,0005,1","00457,1,C,N","009999,1,9,9","+0030,1","+0020,1","99999,9",,"02,1,+00152,1,99,9","04,1,+00457,1,99,9","07,1,+00762,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00152,1,99,9,99,9","10150,1,99999,9","80,1",,,,"MET102METAR RJSC 010400Z VRB01KT 9999 -SHRA FEW005 SCT015 BKN025 03/02 Q1015 RMK 1ST005 4CU015 6CU025 A2998=",
"47553099999","2023-01-01T05:00:00","4","38.411894","140.371331","107.59","YAMAGATA, JA","FM-15","99999","V020","320,1,N,0015,1","00305,1,C,N","009999,1,9,9","+0030,1","+0020,1","99999,9",,"02,1,+00152,1,99,9","04,1,+00305,1,99,9","07,1,+00610,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00152,1,99,9,99,9","10150,1,99999,9","80,1",,,,"MET102METAR RJSC 010500Z 32003KT 9999 -SHRA FEW005 SCT010 BKN020 03/02 Q1015 RMK 1ST005 4ST010 6CU020 A2999=",
"47553099999","2023-01-01T06:00:00","4","38.411894","140.371331","107.59","YAMAGATA, JA","FM-15","99999","V020","360,1,N,0036,1","00305,1,C,N","009999,1,9,9","+0020,1","+0020,1","99999,9",,"02,1,+00152,1,99,9","04,1,+00305,1,99,9","07,1,+00457,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00152,1,99,9,99,9","10160,1,99999,9","80,1",,,,"MET102METAR RJSC 010600Z 36007KT 9999 -SHRA FEW005 SCT010 BKN015 02/02 Q1016 RMK 1ST005 4ST010 6CU015 A3000=",
"47553099999","2023-01-01T07:00:00","4","38.411894","140.371331","107.59","YAMAGATA, JA","FM-15","99999","V020","010,1,N,0062,1","00305,1,C,N","009999,1,9,9","+0020,1","+0010,1","99999,9",,"02,1,+00152,1,99,9","04,1,+00305,1,99,9","07,1,+00457,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00152,1,99,9,99,9","10160,1,99999,9","80,1",,,,"MET102METAR RJSC 010700Z 01012KT 9999 -SHRA FEW005 SCT010 BKN015 02/01 Q1016 RMK 1ST005 4ST010 6CU015 A3001=",
