"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","ED1","GA1","GA2","GA3","GA4","GE1","GF1","MA1","MW1","MW2","MW3","OC1","REM"
"47852099999","2023-01-01T00:00:00","4","33.479444","131.737222","5.79","OITA, JA","FM-15","99999","V020","270,1,V,0021,1","01219,1,C,N","009999,1,9,9","+0070,1","+0000,1","99999,9",,"02,1,+00914,1,99,9","04,1,+01219,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00914,1,99,9,99,9","10280,1,99999,9",,,,,"MET090METAR RJFO 010000Z 27004KT 220V320 9999 FEW030 SCT040 07/00 Q1028 RMK 1CU030 3CU040 A3037="
"47852099999","2023-01-01T01:00:00","4","33.479444","131.737222","5.79","OITA, JA","FM-15","99999","V020","290,1,V,0057,1","99999,9,9,N","009999,1,9,9","+0090,1","-0010,1","99999,9",,"02,1,+00914,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00914,1,99,9,99,9","10280,1,99999,9",,,,"0113,1","MET080METAR RJFO 010100Z 29011G22KT 260V320 9999 FEW030 09/M01 Q1028 RMK 1CU030 A3038="
"47852099999","2023-01-01T02:00:00","4","33.479444","131.737222","5.79","OITA, JA","FM-15","99999","V020","300,1,V,0067,1","99999,9,9,N","009999,1,9,9","+0100,1","-0010,1","99999,9",,"02,1,+01067,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,01067,1,99,9,99,9","10280,1,99999,9",,,,"0118,1","MET080METAR RJFO 010200Z 30013G23KT 260V340 9999 FEW035 10/M01 Q1028 RMK 1CU035 A3037="
"47852099999","2023-01-01T03:00:00","4","33.479444","131.737222","5.79","OITA, JA","FM-15","99999","V020","300,1,V,0067,1","99999,9,9,N","009999,1,9,9","+0100,1","-0020,1","99999,9",,"02,1,+01067,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,01067,1,99,9,99,9","10270,1,99999,9",,,,,"MET060METAR RJFO 010300Z 30013KT 270V350 9999 FEW035 10/M02 Q1027="
"47852099999","2023-01-01T04:00:00","4","33.479444","131.737222","5.79","OITA, JA","FM-15","99999","V020","300,1,V,0067,1","99999,9,9,N","009999,1,9,9","+0110,1","-0020,1","99999,9",,"02,1,+01067,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,01067,1,99,9,99,9","10260,1,99999,9",,,,"0129,1","MET080METAR RJFO 010400Z 30013G25KT 260V340 9999 FEW035 11/M02 Q1026 RMK 1CU035 A3031="
"47852099999","2023-01-01T05:00:00","4","33.479444","131.737222","5.79","OITA, JA","FM-15","99999","V020","310,1,V,0062,1","99999,9,9,N","009999,1,9,9","+0110,1","-0020,1","99999,9",,"02,1,+00914,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00914,1,99,9,99,9","10250,1,99999,9",,,,,"MET077METAR RJFO 010500Z 31012KT 270V340 9999 FEW030 11/M02 Q1025 RMK 1CU030 A3028="
"47852099999","2023-01-01T06:00:00","4","33.479444","131.737222","5.79","OITA, JA","FM-15","99999","V020","320,1,V,0046,1","99999,9,9,N","009999,1,9,9","+0110,1","-0020,1","99999,9",,"02,1,+00914,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00914,1,99,9,99,9","10250,1,99999,9",,,,,"MET077METAR RJFO 010600Z 32009KT 280V350 9999 FEW030 11/M02 Q1025 RMK 1CU030 A3028="
"47852099999","2023-01-01T07:00:00","4","33.479444","131.737222","5.79","OITA, JA","FM-15","99999","V020","330,1,N,0051,1","99999,9,9,N","009999,1,9,9","+0100,1","-0010,1","99999,9",,"02,1,+00914,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00914,1,99,9,99,9","10250,1,99999,9",,,,,"MET069METAR RJFO 010700Z 33010KT 9999 FEW030 10/M01 Q1025 RMK 1CU030 A3028="
"47852099999","2023-01-01T08:00:00","4","33.479444","131.737222","5.79","OITA, JA","FM-15","99999","V020","340,1,V,0026,1","99999,9,9,N","009999,1,9,9","+0090,1","-0010,1","99999,9",,"02,1,+01067,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,01067,1,99,9,99,9","10250,1,99999,9",,,,,"MET077METAR RJFO 010800Z 34005KT 300V010 9999 FEW035 09/M01 Q1025 RMK 1CU035 A3029="
"47852099999","2023-01-01T09:00:00","4","33.479444","131.737222","5.79","OITA, JA","FM-15","99999","V020","320,1,N,0021,1","99999,9,9,N","009999,1,9,9","+0070,1","-0010,1","99999,9",,"02,1,+01219,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,01219,1,99,9,99,9","10260,1,99999,9",,,,,"MET069METAR RJFO 010900Z 32004KT 9999 FEW040 07/M01 Q1026 RMK 1CU040 A3030="
"47852099999","2023-01-01T10:00:00","4","33.479444","131.737222","5.79","OITA, JA","FM-15","99999","V020","999,9,V,0021,1","99999,9,9,N","009999,1,9,9","+0060,1","+0000,1","99999,9",,"02,1,+01219,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,01219,1,99,9,99,9","10260,1,99999,9",,,,,"MET069METAR RJFO 011000Z VRB04KT 9999 FEW040 06/M00 Q1026 RMK 1CU040 A3031="
"47852099999","2023-01-01T11:00:00","4","33.479444","131.737222","5.79","OITA, JA","FM-15","99999","V020","999,9,V,0010,1","05486,1,C,N","009999,1,9,9","+0060,1","+0000,1","99999,9",,"02,1,+01219,1,99,9","04,1,+05486,1,99,9","07,1,+99999,9,99,9",,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,01219,1,99,9,99,9","10270,1,99999,9",,,,,"MET090METAR RJFO 011100Z VRB02KT 9999 FEW040 SCT180 BKN/// 06/M00 Q1027 RMK 1CU040 3AC180 A3033="
"47852099999","2023-01-01T12:00:00","4","33.479444","131.737222","5.79","OITA, JA","FM-15","99999","V020","260,1,N,0015,1","05182,1,9,N","009999,1,9,9","+0050,1","+0010,1","99999,9",,"02,1,+01219,1,99,9","07,1,+05182,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,01219,1,99,9,99,9","10270,1,99999,9",,,,,"MET082METAR RJFO 011200Z 26003KT 9999 FEW040 BKN170 05/01 Q1027 RMK 1CU040 6AC170 A3033="
"47852099999","2023-01-01T13:00:00","4","33.479444","131.737222","5.79","OITA, JA","FM-15","99999","V020","250,1,V,0015,1","04877,1,9,N","009999,1,9,9","+0060,1","+0010,1","99999,9",,"02,1,+01219,1,99,9","07,1,+04877,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,01219,1,99,9,99,9","10270,1,99999,9",,,,,"MET090METAR RJFO 011300Z 25003KT 210V300 9999 FEW040 BKN160 06/01 Q1027 RMK 1CU040 6AC160 A3033="
"47852099999","2023-01-01T22:00:00","4","33.479444","131.737222","5.79","OITA, JA","FM-15","99999","V020","260,1,N,0021,1","03962,1,C,N","009999,1,9,9","+0050,1","+0010,1","99999,9",,"02,1,+01219,1,99,9","04,1,+03962,1,99,9","07,1,+04572,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,01219,1,99,9,99,9","10260,1,99999,9",,,,,"MET096METAR RJFO 012200Z 26004KT 9999 FEW040 SCT130 BKN150 05/01 Q1026 RMK 1CU040 4AC130 5AC150 A3032="
"47852099999","2023-01-01T23:00:00","4","33.479444","131.737222","5.79","OITA, JA","FM-15","99999","V020","250,1,N,0026,1","03962,1,C,N","009999,1,9,9","+0050,1","+0010,1","99999,9",,"02,1,+00914,1,99,9","04,1,+03962,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00914,1,99,9,99,9","10270,1,99999,9",,,,,"MET082METAR RJFO 012300Z 25005KT 9999 FEW030 SCT130 05/01 Q1027 RMK 1CU030 4AC130 A3033="
"47852099999","2023-01-02T00:00:00","4","33.479444","131.737222","5.79","OITA, JA","FM-15","99999","V020","250,1,N,0021,1","03962,1,C,N","009999,1,9,9","+0090,1","+0020,1","99999,9",,"02,1,+01067,1,99,9","04,1,+03962,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,01067,1,99,9,99,9","10270,1,99999,9",,,,,"MET082METAR RJFO 020000Z 25004KT 9999 FEW035 SCT130 09/02 Q1027 RMK 1CU035 4AC130 A3033="
"47852099999","2023-01-02T01:00:00","4","33.479444","131.737222","5.79","OITA, JA","FM-15","99999","V020","310,1,V,0046,1","03658,1,9,N","009999,1,9,9","+0090,1","-0010,1","99999,9",,"02,1,+01067,1,99,9","07,1,+03658,1,99,9","07,1,+03962,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,01067,1,99,9,99,9","10270,1,99999,9",,,,,"MET105METAR RJFO 020100Z 31009KT 280V350 9999 FEW035 BKN120 BKN130 09/M01 Q1027 RMK 1CU035 5AC120 6AC130 A3034="
"47852099999","2023-01-02T02:00:00","4","33.479444","131.737222","5.79","OITA, JA","FM-15","99999","V020","320,1,V,0036,1","03962,1,C,N","009999,1,9,9","+0100,1","+0000,1","99999,9",,"02,1,+01067,1,99,9","04,1,+03962,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,01067,1,99,9,99,9","10260,1,99999,9",,,,,"MET090METAR RJFO 020200Z 32007KT 290V360 9999 FEW035 SCT130 10/00 Q1026 RMK 1CU035 3AC130 A3032="
"47852099999","2023-01-02T03:00:00","4","33.479444","131.737222","5.79","OITA, JA","FM-15","99999","V020","290,1,V,0062,1","99999,9,9,N","009999,1,9,9","+0110,1","-0010,1","99999,9",,"02,1,+01067,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,01067,1,99,9,99,9","10250,1,99999,9",,,,,"MET077METAR RJFO 020300Z 29012KT 260V330 9999 FEW035 11/M01 Q1025 RMK 2CU035 A3028="
