"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","GA1","GA2","GE1","GF1","MA1","MW1","MW2","OC1","REM","EQD"
"80222599999","2023-01-01T11:00:00","4","6.95","-71.85","213.0","LOS COLONIZADORES, CO","FM-15","99999","V020","250,1,N,0015,1","22000,1,9,N","009999,1,9,9","+0200,1","+0180,1","99999,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10130,1,99999,9",,,,"MET058METAR SKSA 011100Z 25003KT 9999 NSC 20/18 Q1013 RMK A2992=",
"80222599999","2023-01-01T14:00:00","4","6.95","-71.85","213.0","LOS COLONIZADORES, CO","FM-15","99999","V020","999,9,V,0010,1","22000,1,9,N","009999,1,9,9","+0270,1","+0180,1","99999,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10150,1,99999,9",,,,"MET058METAR SKSA 011400Z VRB02KT 9999 NSC 27/18 Q1015 RMK A2999=",
"80222599999","2023-01-01T15:00:00","4","6.95","-71.85","213.0","LOS COLONIZADORES, CO","FM-15","99999","V020","090,1,N,0015,1","22000,1,9,N","009999,1,9,9","+0280,1","+0180,1","99999,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10150,1,99999,9",,,,"MET058METAR SKSA 011500Z 09003KT 9999 NSC 28/18 Q1015 RMK A2999=",
"80222599999","2023-01-01T22:00:00","4","6.95","-71.85","213.0","LOS COLONIZADORES, CO","FM-15","99999","V020","030,1,N,0015,1","99999,9,9,N","009999,1,9,9","+0300,1","+0210,1","99999,9","04,1,+01219,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,01219,1,99,9,99,9","10120,1,99999,9",,,,"MET061METAR SKSA 012200Z 03003KT 9999 SCT040 30/21 Q1012 RMK A2989=",
"80222599999","2023-01-02T11:00:00","4","6.95","-71.85","213.0","LOS COLONIZADORES, CO","FM-15","99999","V020","290,1,N,0026,1","01524,1,C,N","003000,1,9,9","+0210,1","+0210,1","99999,9","07,1,+01524,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,07,1,99,9,01524,1,99,9,99,9","10130,1,99999,9",,,,"MET061METAR SKSA 021100Z 29005KT 3000 BKN050 21/21 Q1013 RMK A2993=",
"80222599999","2023-01-02T12:00:00","4","6.95","-71.85","213.0","LOS COLONIZADORES, CO","FM-15","99999","V020","010,1,N,0031,1","01219,1,C,N","009999,1,9,9","+0220,1","+0210,1","99999,9","07,1,+01219,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,07,1,99,9,01219,1,99,9,99,9","10130,1,99999,9",,,,"MET061METAR SKSA 021200Z 01006KT 9999 BKN040 22/21 Q1013 RMK A2993=",
"80222599999","2023-01-02T14:00:00","4","6.95","-71.85","213.0","LOS COLONIZADORES, CO","FM-15","99999","V020","999,9,C,0000,1","00610,1,C,N","003000,1,9,9","+0210,1","+0210,1","99999,9","07,1,+00610,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,07,1,99,9,00610,1,99,9,99,9","10160,1,99999,9","63,1",,,"MET064METAR SKSA 021400Z 00000KT 3000 RA BKN020 21/21 Q1016 RMK A3002=",
"80222599999","2023-01-03T11:00:00","4","6.95","-71.85","213.0","LOS COLONIZADORES, CO","FM-15","99999","V020","360,1,N,0015,1","99999,9,9,N","009999,1,9,9","+0220,1","+0210,1","99999,9","04,1,+02743,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,02743,1,99,9,99,9","10130,1,99999,9",,,,"MET061METAR SKSA 031100Z 36003KT 9999 SCT090 22/21 Q1013 RMK A2993=",
"80222599999","2023-01-03T12:00:00","4","6.95","-71.85","213.0","LOS COLONIZADORES, CO","FM-15","99999","V020","070,1,N,0015,1","99999,9,9,N","009999,1,9,9","+0220,1","+0210,1","99999,9","04,1,+02743,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,02743,1,99,9,99,9","10130,1,99999,9",,,,"MET061METAR SKSA 031200Z 07003KT 9999 SCT090 22/21 Q1013 RMK A2993=",
"80222599999","2023-01-03T13:00:00","4","6.95","-71.85","213.0","LOS COLONIZADORES, CO","FM-15","99999","V020","070,1,N,0015,1","99999,9,9,N","009999,1,9,9","+0220,1","+0210,1","99999,9","04,1,+02743,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,02743,1,99,9,99,9","10130,1,99999,9",,,,"MET061METAR SKSA 031300Z 07003KT 9999 SCT090 22/21 Q1013 RMK A2993=",
"80222599999","2023-01-03T14:00:00","4","6.95","-71.85","213.0","LOS COLONIZADORES, CO","FM-15","99999","V020","999,9,C,0000,1","99999,9,9,N","009999,1,9,9","+0240,1","+0210,1","99999,9","04,1,+02743,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,02743,1,99,9,99,9","10130,1,99999,9",,,,"MET061METAR SKSA 031400Z 00000KT 9999 SCT090 24/21 Q1013 RMK A2993=",
"80222599999","2023-01-03T21:00:00","4","6.95","-71.85","213.0","LOS COLONIZADORES, CO","FM-15","99999","V020","310,1,N,0015,1","22000,1,9,N","009999,1,9,9","+0270,1","+0220,1","99999,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10110,1,99999,9",,,,"MET058METAR SKSA 032100Z 31003KT 9999 NSC 27/22 Q1011 RMK A2987=",
"80222599999","2023-01-04T16:00:00","4","6.95","-71.85","213.0","LOS COLONIZADORES, CO","FM-15","99999","V020","260,1,N,0021,1","00610,1,C,N","008000,1,9,9","+0220,1","+0210,1","99999,9","08,1,+00610,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,08,1,99,9,00610,1,99,9,99,9","10170,1,99999,9","61,1",,,"MET065METAR SKSA 041600Z 26004KT 8000 -RA OVC020 22/21 Q1017 RMK A3003=",
"80222599999","2023-01-04T20:00:00","4","6.95","-71.85","213.0","LOS COLONIZADORES, CO","FM-15","99999","V020","270,1,N,0021,1","99999,9,9,N","009999,1,9,9","+0260,1","+0210,1","99999,9","04,1,+01829,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,01829,1,99,9,99,9","10120,1,99999,9",,,,"MET061METAR SKSA 042000Z 27004KT 9999 SCT060 26/21 Q1012 RMK A2989=",
"80222599999","2023-01-05T16:00:00","4","6.95","-71.85","213.0","LOS COLONIZADORES, CO","FM-15","99999","V020","340,1,N,0046,1","99999,9,9,N","009999,1,9,9","+0280,1","+0200,1","99999,9","04,1,+02438,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,02438,1,99,9,99,9","10160,1,99999,9",,,,"MET061METAR SKSA 051600Z 34009KT 9999 SCT080 28/20 Q1016 RMK A3000=",
"80222599999","2023-01-05T19:00:00","4","6.95","-71.85","213.0","LOS COLONIZADORES, CO","FM-15","99999","V020","310,1,N,0036,1","99999,9,9,N","009999,1,9,9","+0300,1","+0190,1","99999,9","02,1,+02438,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,02438,1,99,9,99,9","10120,1,99999,9",,,,"MET061METAR SKSA 051900Z 31007KT 9999 FEW080 30/19 Q1012 RMK A2990=",
"80222599999","2023-01-05T21:00:00","4","6.95","-71.85","213.0","LOS COLONIZADORES, CO","FM-15","99999","V020","340,1,N,0021,1","99999,9,9,N","009999,1,9,9","+0280,1","+0200,1","99999,9","02,1,+02438,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,02438,1,99,9,99,9","10110,1,99999,9",,,,"MET061METAR SKSA 052100Z 34004KT 9999 FEW080 28/20 Q1011 RMK A2987=",
"80222599999","2023-01-05T23:00:00","4","6.95","-71.85","213.0","LOS COLONIZADORES, CO","FM-15","99999","V020","290,1,N,0015,1","99999,9,9,N","009999,1,9,9","+0270,1","+0200,1","99999,9","02,1,+02743,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,02743,1,99,9,99,9","10110,1,99999,9",,,,"MET061METAR SKSA 052300Z 29003KT 9999 FEW090 27/20 Q1011 RMK A2987=",
