"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","KA1","KA2","MA1","MD1","OC1","OD1","REM"
"81901099999","2023-01-01T00:00:00","4","-7.3333333","-47.4666666","193.5","CAROLINA, BR","FM-14","99999","V020","044,1,N,0010,1","99999,9,9,9","999999,9,9,9","+0260,1","+0240,1","99999,9","99,9999,9,9","120,M,+0265,1","120,N,+0258,1","99999,9,09901,1","2,1,999,9,+999,9",,"3,99,9999,9,999","SYN004BUFR"
"81901099999","2023-01-01T01:00:00","4","-7.3333333","-47.4666666","193.5","CAROLINA, BR","FM-14","99999","V020","066,1,N,0010,1","99999,9,9,9","999999,9,9,9","+0256,1","+0236,1","99999,9","99,9999,9,9","120,M,+0259,1","120,N,+0255,1","99999,9,09907,1","2,1,999,9,+999,9",,"3,99,9999,9,999","SYN004BUFR"
"81901099999","2023-01-01T02:00:00","4","-7.3333333","-47.4666666","193.5","CAROLINA, BR","FM-14","99999","V020","029,1,N,0031,1","99999,9,9,9","999999,9,9,9","+0247,1","+0212,1","10138,1","99,9999,9,9","120,M,+0256,1","120,N,+0248,1","99999,9,09915,1","2,1,999,9,+999,9","0063,1","3,99,9999,9,999","SYN004BUFR"
"81901099999","2023-01-01T03:00:00","4","-7.3333333","-47.4666666","193.5","CAROLINA, BR","FM-14","99999","V020","071,1,N,0003,1","99999,9,9,9","999999,9,9,9","+0240,1","+0210,1","10128,1","99,9999,9,9","120,M,+0248,1","120,N,+0239,1","99999,9,09905,1","2,1,999,9,+999,9","0063,1","3,99,9999,9,999","SYN004BUFR"
"81901099999","2023-01-01T04:00:00","4","-7.3333333","-47.4666666","193.5","CAROLINA, BR","FM-14","99999","V020","127,1,N,0004,1","99999,9,9,9","999999,9,9,9","+0235,1","+0211,1","10119,1","99,9999,9,9","120,M,+0240,1","120,N,+0234,1","99999,9,09896,1",,,"3,99,9999,9,999","SYN004BUFR"
"81901099999","2023-01-01T05:00:00","4","-7.3333333","-47.4666666","193.5","CAROLINA, BR","FM-14","99999","V020","162,1,N,0007,1","99999,9,9,9","999999,9,9,9","+0231,1","+0211,1","10118,1","99,9999,9,9","120,M,+0235,1","120,N,+0231,1","99999,9,09895,1","7,1,999,9,+999,9",,"3,99,9999,9,999","SYN004BUFR"
"81901099999","2023-01-01T06:00:00","4","-7.3333333","-47.4666666","193.5","CAROLINA, BR","FM-14","99999","V020","177,1,N,0012,1","99999,9,9,9","999999,9,9,9","+0230,1","+0209,1","10114,1","99,9999,9,9","120,M,+0232,1","120,N,+0230,1","99999,9,09891,1","7,1,999,9,+999,9",,"3,99,9999,9,999","SYN004BUFR"
"81901099999","2023-01-01T07:00:00","4","-7.3333333","-47.4666666","193.5","CAROLINA, BR","FM-14","99999","V020","197,1,N,0006,1","99999,9,9,9","999999,9,9,9","+0227,1","+0210,1","10115,1","99,9999,9,9","120,M,+0230,1","120,N,+0227,1","99999,9,09891,1","7,1,999,9,+999,9",,"3,99,9999,9,999","SYN004BUFR"
"81901099999","2023-01-01T08:00:00","4","-7.3333333","-47.4666666","193.5","CAROLINA, BR","FM-14","99999","V020","016,1,N,0008,1","99999,9,9,9","999999,9,9,9","+0225,1","+0210,1","10118,1","99,9999,9,9","120,M,+0228,1","120,N,+0225,1","99999,9,09894,1","7,1,999,9,+999,9",,"3,99,9999,9,999","SYN004BUFR"
"81901099999","2023-01-01T09:00:00","4","-7.3333333","-47.4666666","193.5","CAROLINA, BR","FM-14","99999","V020","041,1,N,0004,1","99999,9,9,9","999999,9,9,9","+0225,1","+0212,1","10121,1","99,9999,9,9","120,M,+0226,1","120,N,+0223,1","99999,9,09897,1","2,1,999,9,+999,9",,"3,99,9999,9,999","SYN004BUFR"
