"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","MA1","MD1","REM","EQD"
"89272099999","2023-01-01T00:00:00","4","-74.8","-71.4833333","1589.0","UNIVERSITY WI ID 8917 SKI BLU, AY","FM-12","99999","V020","350,1,N,0082,1","99999,9,9,N","999999,9,9,9","-0115,1","-0129,1","09668,1","99999,9,08036,1",,"SYN05489272 46/// /3516 11115 21129 38036 49668 5//// 90000=",
"89272099999","2023-01-01T03:00:00","4","-74.8","-71.4833333","1589.0","UNIVERSITY WI ID 8917 SKI BLU, AY","FM-12","99999","V020","360,1,N,0082,1","99999,9,9,N","999999,9,9,9","-0132,1","-0143,1","09677,1","99999,9,08034,1","7,1,002,1,+999,9","SYN05489272 46/// /3616 11132 21143 38034 49677 57002 90300=",
"89272099999","2023-01-01T09:00:00","4","-74.8","-71.4833333","1589.0","UNIVERSITY WI ID 8917 SKI BLU, AY","FM-12","99999","V020","360,1,N,0077,1","99999,9,9,N","999999,9,9,9","-0138,1","-0156,1","09683,1","99999,9,08036,1",,"SYN05489272 46/// /3615 11138 21156 38036 49683 5//// 90900=",
"89272099999","2023-01-01T12:00:00","4","-74.8","-71.4833333","1589.0","UNIVERSITY WI ID 8917 SKI BLU, AY","FM-12","99999","V020","350,1,N,0082,1","99999,9,9,N","999999,9,9,9","-0117,1","-0128,1","09667,1","99999,9,08034,1","7,1,002,1,+999,9","SYN05489272 46/// /3516 11117 21128 38034 49667 57002 91200=",
"89272099999","2023-01-01T15:00:00","4","-74.8","-71.4833333","1589.0","UNIVERSITY WI ID 8917 SKI BLU, AY","FM-12","99999","V020","350,1,N,0093,1","99999,9,9,N","999999,9,9,9","-0102,1","-0114,1","09654,1","99999,9,08031,1","7,1,003,1,+999,9","SYN05489272 46/// /3518 11102 21114 38031 49654 57003 91500=",
"89272099999","2023-01-01T18:00:00","4","-74.8","-71.4833333","1589.0","UNIVERSITY WI ID 8917 SKI BLU, AY","FM-12","99999","V020","320,1,N,0057,1","99999,9,9,N","999999,9,9,9","-0086,1","-0123,1","09647,1","99999,9,08033,1","2,1,002,1,+999,9","SYN05489272 46/// /3211 11086 21123 38033 49647 52002 91800=",
"89272099999","2023-01-02T00:00:00","4","-74.8","-71.4833333","1589.0","UNIVERSITY WI ID 8917 SKI BLU, AY","FM-12","99999","V020","050,1,N,0021,1","99999,9,9,N","999999,9,9,9","-0097,1","-0135,1","09649,1","99999,9,08029,1",,"SYN05489272 46/// /0504 11097 21135 38029 49649 5//// 90000=",
"89272099999","2023-01-02T03:00:00","4","-74.8","-71.4833333","1589.0","UNIVERSITY WI ID 8917 SKI BLU, AY","FM-12","99999","V020","070,1,N,0026,1","99999,9,9,N","999999,9,9,9","-0145,1","-0170,1","09669,1","99999,9,08021,1","7,1,008,1,+999,9","SYN05489272 46/// /0705 11145 21170 38021 49669 57008 90300=",
"89272099999","2023-01-02T06:00:00","4","-74.8","-71.4833333","1589.0","UNIVERSITY WI ID 8917 SKI BLU, AY","FM-12","99999","V020","050,1,N,0041,1","99999,9,9,N","999999,9,9,9","-0191,1","-0214,1","09689,1","99999,9,08013,1","7,1,008,1,+999,9","SYN05489272 46/// /0508 11191 21214 38013 49689 57008 90600=",
"89272099999","2023-01-02T09:00:00","4","-74.8","-71.4833333","1589.0","UNIVERSITY WI ID 8917 SKI BLU, AY","FM-12","99999","V020","070,1,N,0036,1","99999,9,9,N","999999,9,9,9","-0155,1","-0179,1","09654,1","99999,9,08003,1","7,1,010,1,+999,9","SYN05489272 46/// /0707 11155 21179 38003 49654 57010 90900=",
