"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","MD1","OD1","SA1","REM","EQD"
"99729099999","2023-01-01T00:00:00","4","41.17","-73.18","10.0","BRIDGEPORT, CT US","FM-13","99999","V020","999,9,C,0000,1","99999,9,9,N","999999,9,9,9","+0085,1","+9999,9","10099,1",,"5,99,0005,1,999","+048,1","SYN074BRHC3 46/// /0000 10085 40099 92336 222// 00048 333 91201 555 11000 22000=",
"99729099999","2023-01-01T01:00:00","4","41.17","-73.18","10.0","BRIDGEPORT, CT US","FM-13","99999","V020","999,9,C,0000,1","99999,9,9,N","999999,9,9,9","+0085,1","+9999,9","10096,1",,"5,99,0000,1,999","+047,1","SYN074BRHC3 46/// /0000 10085 40096 90036 222// 00047 333 91200 555 11000 22000=",
"99729099999","2023-01-01T02:00:00","4","41.17","-73.18","10.0","BRIDGEPORT, CT US","FM-13","99999","V020","999,9,C,0000,1","99999,9,9,N","999999,9,9,9","+0084,1","+9999,9","10083,1",,"5,99,0000,1,999","+048,1","SYN074BRHC3 46/// /0000 10084 40083 90148 222// 00048 333 91200 555 11000 22000=",
"99729099999","2023-01-01T03:00:00","4","41.17","-73.18","10.0","BRIDGEPORT, CT US","FM-13","99999","V020","240,1,N,0010,1","99999,9,9,N","999999,9,9,9","+0086,1","+9999,9","10077,1","6,1,022,1,+999,9","5,99,0015,1,999","+048,1","SYN080BRHC3 46/// /2402 10086 40077 56022 90300 222// 00048 333 91203 555 11002 22002=",
"99729099999","2023-01-01T04:00:00","4","41.17","-73.18","10.0","BRIDGEPORT, CT US","FM-13","99999","V020","999,9,C,0000,1","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","10066,1","8,1,025,1,+999,9","5,99,0005,1,999","+050,1","SYN080BRHC3 46/// /0000 1//// 40066 58025 90400 222// 00050 333 91201 555 11001 22001=",
"99729099999","2023-01-01T05:00:00","4","41.17","-73.18","10.0","BRIDGEPORT, CT US","FM-13","99999","V020","210,1,N,0026,1","99999,9,9,N","999999,9,9,9","+0092,1","+9999,9","10072,1","5,1,009,1,+999,9","5,99,0036,1,999","+048,1","SYN080BRHC3 46/// /2105 10092 40072 55009 90500 222// 00048 333 91207 555 11005 22005=",
"99729099999","2023-01-01T06:00:00","4","41.17","-73.18","10.0","BRIDGEPORT, CT US","FM-13","99999","V020","330,1,N,0010,1","99999,9,9,N","999999,9,9,9","+0095,1","+9999,9","10049,1","8,1,028,1,+999,9","5,99,0015,1,999","+049,1","SYN080BRHC3 46/// /3302 10095 40049 58028 90600 222// 00049 333 91203 555 11002 22002=",
"99729099999","2023-01-01T07:00:00","4","41.17","-73.18","10.0","BRIDGEPORT, CT US","FM-13","99999","V020","999,9,C,0000,1","99999,9,9,N","999999,9,9,9","+0099,1","+9999,9","10051,1","8,1,015,1,+999,9","5,99,0010,1,999","+050,1","SYN080BRHC3 46/// /0000 10099 40051 58015 90700 222// 00050 333 91202 555 11000 22000=",
"99729099999","2023-01-01T08:00:00","4","41.17","-73.18","10.0","BRIDGEPORT, CT US","FM-13","99999","V020","250,1,N,0026,1","99999,9,9,N","999999,9,9,9","+0097,1","+9999,9","10059,1","5,1,013,1,+999,9","5,99,0036,1,999","+050,1","SYN080BRHC3 46/// /2505 10097 40059 55013 90800 222// 00050 333 91207 555 11005 22005=",
"99729099999","2023-01-01T09:00:00","4","41.17","-73.18","10.0","BRIDGEPORT, CT US","FM-13","99999","V020","220,1,N,0015,1","99999,9,9,N","999999,9,9,9","+0083,1","+9999,9","10061,1","2,1,012,1,+999,9","5,99,0026,1,999","+049,1","SYN080BRHC3 46/// /2203 10083 40061 52012 90900 222// 00049 333 91205 555 11003 22003=",
"99729099999","2023-01-01T10:00:00","4","41.17","-73.18","10.0","BRIDGEPORT, CT US","FM-13","99999","V020","230,1,N,0015,1","99999,9,9,N","999999,9,9,9","+0089,1","+9999,9","10066,1","1,1,015,1,+999,9","5,99,0026,1,999","+050,1","SYN080BRHC3 46/// /2303 10089 40066 51015 91000 222// 00050 333 91205 555 11003 22004=",
"99729099999","2023-01-01T11:00:00","4","41.17","-73.18","10.0","BRIDGEPORT, CT US","FM-13","99999","V020","230,1,N,0026,1","99999,9,9,N","999999,9,9,9","+0080,1","+9999,9","10072,1","3,1,013,1,+999,9","5,99,0031,1,999","+050,1","SYN080BRHC3 46/// /2305 10080 40072 53013 91100 222// 00050 333 91206 555 11005 22005=",
"99729099999","2023-01-01T12:00:00","4","41.17","-73.18","10.0","BRIDGEPORT, CT US","FM-13","99999","V020","240,1,N,0026,1","99999,9,9,N","999999,9,9,9","+0078,1","+9999,9","10085,1","3,1,024,1,+999,9","5,99,0041,1,999","+051,1","SYN080BRHC3 46/// /2405 10078 40085 53024 91200 222// 00051 333 91208 555 11005 22006=",
"99729099999","2023-01-01T13:00:00","4","41.17","-73.18","10.0","BRIDGEPORT, CT US","FM-13","99999","V020","290,1,N,0026,1","99999,9,9,N","999999,9,9,9","+0086,1","+9999,9","10093,1","3,1,027,1,+999,9","5,99,0046,1,999","+051,1","SYN080BRHC3 46/// /2905 10086 40093 53027 91300 222// 00051 333 91209 555 11005 22006=",
