"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","OD1","REM"
"99734299999","2023-01-01T00:00:00","4","43.05","-87.88","188.0","MILWAUKEE, WI US","FM-13","99999","V020","160,1,N,0010,1","99999,9,9,N","999999,9,9,9","-0004,1","+9999,9","99999,9","5,99,0010,1,999","SYN040MLWW3 46/// /1602 11004 92350 333 91202="
"99734299999","2023-01-01T01:00:00","4","43.05","-87.88","188.0","MILWAUKEE, WI US","FM-13","99999","V020","060,1,N,0036,1","99999,9,9,N","999999,9,9,9","-0001,1","+9999,9","99999,9","5,99,0036,1,999","SYN040MLWW3 46/// /0607 11001 90040 333 91207="
"99734299999","2023-01-01T02:00:00","4","43.05","-87.88","188.0","MILWAUKEE, WI US","FM-13","99999","V020","170,1,N,0031,1","99999,9,9,N","999999,9,9,9","-0002,1","+9999,9","99999,9","5,99,0036,1,999","SYN040MLWW3 46/// /1706 11002 90140 333 91207="
"99734299999","2023-01-01T03:00:00","4","43.05","-87.88","188.0","MILWAUKEE, WI US","FM-13","99999","V020","190,1,N,0026,1","99999,9,9,N","999999,9,9,9","+0000,1","+9999,9","99999,9","5,99,0031,1,999","SYN040MLWW3 46/// /1905 10000 90240 333 91206="
"99734299999","2023-01-01T04:00:00","4","43.05","-87.88","188.0","MILWAUKEE, WI US","FM-13","99999","V020","180,1,N,0036,1","99999,9,9,N","999999,9,9,9","+0002,1","+9999,9","99999,9","5,99,0041,1,999","SYN040MLWW3 46/// /1807 10002 90340 333 91208="
"99734299999","2023-01-01T05:00:00","4","43.05","-87.88","188.0","MILWAUKEE, WI US","FM-13","99999","V020","130,1,N,0031,1","99999,9,9,N","999999,9,9,9","+0006,1","+9999,9","99999,9","5,99,0036,1,999","SYN040MLWW3 46/// /1306 10006 90440 333 91207="
"99734299999","2023-01-01T06:00:00","4","43.05","-87.88","188.0","MILWAUKEE, WI US","FM-13","99999","V020","190,1,N,0021,1","99999,9,9,N","999999,9,9,9","+0011,1","+9999,9","99999,9","5,99,0026,1,999","SYN040MLWW3 46/// /1904 10011 90540 333 91205="
"99734299999","2023-01-01T07:00:00","4","43.05","-87.88","188.0","MILWAUKEE, WI US","FM-13","99999","V020","160,1,N,0026,1","99999,9,9,N","999999,9,9,9","+0012,1","+9999,9","99999,9","5,99,0031,1,999","SYN040MLWW3 46/// /1605 10012 90640 333 91206="
"99734299999","2023-01-01T08:00:00","4","43.05","-87.88","188.0","MILWAUKEE, WI US","FM-13","99999","V020","180,1,N,0041,1","99999,9,9,N","999999,9,9,9","+0025,1","+9999,9","99999,9","5,99,0051,1,999","SYN040MLWW3 46/// /1808 10025 90740 333 91210="
"99734299999","2023-01-01T09:00:00","4","43.05","-87.88","188.0","MILWAUKEE, WI US","FM-13","99999","V020","180,1,N,0031,1","99999,9,9,N","999999,9,9,9","+0026,1","+9999,9","99999,9","5,99,0036,1,999","SYN040MLWW3 46/// /1806 10026 90840 333 91207="
"99734299999","2023-01-01T10:00:00","4","43.05","-87.88","188.0","MILWAUKEE, WI US","FM-13","99999","V020","190,1,N,0026,1","99999,9,9,N","999999,9,9,9","+0026,1","+9999,9","99999,9","5,99,0036,1,999","SYN040MLWW3 46/// /1905 10026 90940 333 91207="
