"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","KA1","KA2","MA1","MD1","OC1","OD1","REM","EQD"
"01009099999","2023-01-02T12:00:00","4","80.65","25.0","5.0","KARL XII OYA, SV","FM-12","99999","V020","141,1,N,0113,1","99999,9,9,9","999999,9,9,9","-0019,1","-0059,1","10150,1","120,M,-0018,1","120,N,-0022,1","99999,9,10143,1","2,1,005,1,+999,9","0152,1","3,99,9999,9,999","SYN004BUFR",
"01009099999","2023-01-03T21:00:00","4","80.65","25.0","5.0","KARL XII OYA, SV","FM-12","99999","V020","182,1,N,0082,1","99999,9,9,9","999999,9,9,9","-0009,1","-0046,1","10222,1",,,"99999,9,10216,1","1,1,008,1,+999,9","0120,1","3,99,9999,9,999","SYN004BUFR",
"01009099999","2023-01-05T21:00:00","4","80.65","25.0","5.0","KARL XII OYA, SV","FM-12","99999","V020","161,1,N,0045,1","99999,9,9,9","999999,9,9,9","-0014,1","-0033,1","10217,1",,,"99999,9,10210,1",,"0058,1","3,99,9999,9,999","SYN004BUFR","Q014     3APCTENQ02.2    3APC3  "
"01009099999","2023-01-07T20:00:00","4","80.65","25.0","5.0","KARL XII OYA, SV","FM-12","99999","V020","235,1,N,0063,1","99999,9,9,9","999999,9,9,9","-0022,1","-0057,1","10196,1",,,"99999,9,10190,1","7,1,008,1,+999,9","0069,1","9,99,0063,1,999","SYN004BUFR",
"01009099999","2023-01-07T22:00:00","4","80.65","25.0","5.0","KARL XII OYA, SV","FM-12","99999","V020","247,1,N,0038,1","99999,9,9,9","999999,9,9,9","-0025,1","-0061,1","10193,1",,,"99999,9,10186,1","7,1,005,1,+999,9","0061,1","9,99,0063,1,999","SYN004BUFR",
"01009099999","2023-01-08T21:00:00","4","80.65","25.0","5.0","KARL XII OYA, SV","FM-12","99999","V020","225,1,N,0057,1","99999,9,9,9","999999,9,9,9","-0032,1","-0058,1","10123,1",,,"99999,9,10117,1",,"0074,1","3,99,9999,9,999","SYN004BUFR","Q014     3APCTENQ02.2    3APC3  "
"01009099999","2023-01-09T00:00:00","4","80.65","25.0","5.0","KARL XII OYA, SV","FM-12","99999","V020","230,1,N,0042,1","99999,9,9,9","999999,9,9,9","-0035,1","-0061,1","10124,1",,,"99999,9,10117,1","4,1,000,1,+999,9","0059,1","3,99,9999,9,999","SYN004BUFR",
"01009099999","2023-01-10T13:00:00","4","80.65","25.0","5.0","KARL XII OYA, SV","FM-12","99999","V020","120,1,N,0171,1","99999,9,9,9","999999,9,9,9","-0022,1","-0035,1","10023,1","120,M,-0022,1","120,N,-0024,1","99999,9,10017,1","8,1,020,1,+999,9","0229,1","9,99,0193,1,999","SYN004BUFR",
"01009099999","2023-01-13T20:00:00","4","80.65","25.0","5.0","KARL XII OYA, SV","FM-12","99999","V020","094,1,N,0150,1","99999,9,9,9","999999,9,9,9","-0030,1","-0048,1","10004,1",,,"99999,9,09997,1","2,1,013,1,+999,9","0188,1","9,99,0158,1,999","SYN004BUFR",
"01009099999","2023-01-25T01:00:00","4","80.65","25.0","5.0","KARL XII OYA, SV","FM-12","99999","V020","999,9,N,0107,1","99999,9,9,9","999999,9,9,9","-0032,1","-0047,1","09820,1","120,M,-0023,1","120,N,-0032,1","99999,9,09813,1","2,1,026,1,+999,9","0126,1","9,99,0110,1,999","SYN004BUFR",
"01009099999","2023-02-05T20:00:00","4","80.65","25.0","5.0","KARL XII OYA, SV","FM-12","99999","V020","127,1,N,0177,1","99999,9,9,9","999999,9,9,9","-0089,1","-0106,1","10099,1",,,"99999,9,10092,1","6,1,024,1,+999,9","0196,1","9,99,0180,1,999","SYN004BUFR",
"01009099999","2023-02-14T10:00:00","4","80.65","25.0","5.0","KARL XII OYA, SV","FM-12","99999","V020","139,1,N,0140,1","99999,9,9,9","999999,9,9,9","-0089,1","-0114,1","10084,1","120,M,-0085,1","120,N,-0092,1","99999,9,10077,1","7,1,014,1,+999,9","0160,1","9,99,0142,1,999","SYN004BUFR",
"01009099999","2023-02-14T13:00:00","4","80.65","25.0","5.0","KARL XII OYA, SV","FM-12","99999","V020","133,1,N,0152,1","99999,9,9,9","999999,9,9,9","-0087,1","-0108,1","10058,1","120,M,-0088,1","120,N,-0093,1","99999,9,10051,1","6,1,026,1,+999,9","0177,1","9,99,0163,1,999","SYN004BUFR",
"01009099999","2023-02-14T14:00:00","4","80.65","25.0","5.0","KARL XII OYA, SV","FM-12","99999","V020","126,1,N,0173,1","99999,9,9,9","999999,9,9,9","-0090,1","-0111,1","10039,1","120,M,-0086,1","120,N,-0093,1","99999,9,10032,1","6,1,038,1,+999,9","0194,1","9,99,0173,1,999","SYN004BUFR",
"01009099999","2023-02-14T18:00:00","4","80.65","25.0","5.0","KARL XII OYA, SV","FM-12","99999","V020","114,1,N,0192,1","99999,9,9,9","999999,9,9,9","-0080,1","-0097,1","09961,1",,,"99999,9,09954,1","6,1,061,1,+999,9","0222,1","3,99,9999,9,999","SYN004BUFR",
"01009099999","2023-02-14T20:00:00","4","80.65","25.0","5.0","KARL XII OYA, SV","FM-12","99999","V020","114,1,N,0211,1","99999,9,9,9","999999,9,9,9","-0074,1","-0090,1","09915,2",,,"99999,9,09908,2","8,1,070,1,+999,9","0249,1","9,99,0215,1,999","SYN004BUFR",
"01009099999","2023-02-17T20:00:00","4","80.65","25.0","5.0","KARL XII OYA, SV","FM-12","99999","V020","305,1,N,0039,1","99999,9,9,9","999999,9,9,9","-0025,1","-0053,1","09752,1",,,"99999,9,09745,1","2,1,018,1,+999,9","0050,1","9,99,0040,1,999","SYN004BUFR",
"01009099999","2023-02-23T22:00:00","4","80.65","25.0","5.0","KARL XII OYA, SV","FM-12","99999","V020","112,1,N,0158,1","99999,9,9,9","999999,9,9,9","-0025,1","-0039,1","09898,1",,,"99999,9,09892,1","7,1,018,1,+999,9","0187,1","9,99,0164,1,999","SYN004BUFR",
"01009099999","2023-02-28T20:00:00","4","80.65","25.0","5.0","KARL XII OYA, SV","FM-12","99999","V020","324,1,N,0052,1","99999,9,9,9","999999,9,9,9","-0080,1","-0104,1","10082,1",,,"99999,9,10075,1",,"0085,1","9,99,0067,1,999","SYN004BUFR","Q014     3APCTENQ02.3    3APC3  "
"01009099999","2023-03-01T00:00:00","4","80.65","25.0","5.0","KARL XII OYA, SV","FM-12","99999","V020","280,1,N,0053,1","99999,9,9,9","999999,9,9,9","-0075,1","-0099,1","10081,1",,,"99999,9,10074,1","6,1,004,1,+999,9","0070,1","3,99,9999,9,999","SYN004BUFR",
"01009099999","2023-03-20T17:00:00","4","80.65","25.0","5.0","KARL XII OYA, SV","FM-12","99999","V020","331,1,N,0075,1","99999,9,9,9","999999,9,9,9","-0243,1","-0269,1","10020,1","120,M,-0235,1","120,N,-0244,1","99999,9,10013,1","3,1,004,1,+999,9","0126,1","9,99,0084,1,999","SYN004BUFR",
"01009099999","2023-03-31T20:00:00","4","80.65","25.0","5.0","KARL XII OYA, SV","FM-12","99999","V020","007,1,N,0030,1","99999,9,9,9","999999,9,9,9","-0209,1","-0229,1","10190,1",,,"99999,9,10183,1","2,1,005,1,+999,9",,"9,99,0040,1,999","SYN004BUFR",
"01009099999","2023-03-31T22:00:00","4","80.65","25.0","5.0","KARL XII OYA, SV","FM-12","99999","V020","317,1,N,0026,1","99999,9,9,9","999999,9,9,9","-0205,1","-0225,1","10195,1",,,"99999,9,10188,1","2,1,007,1,+999,9",,"9,99,0035,1,999","SYN004BUFR",
"01009099999","2023-04-01T00:00:00","4","80.65","25.0","5.0","KARL XII OYA, SV","FM-12","99999","V020","314,1,N,0028,1","99999,9,9,9","999999,9,9,9","-0189,1","-0207,1","10196,1",,,"99999,9,10189,1","3,1,005,1,+999,9",,"3,99,9999,9,999","SYN004BUFR",
