"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AW1","AY1","AY2","KA1","KA2","MA1","MD1","MW1","OC1","OD1","REM","EQD"
"02821099999","2023-01-01T00:00:00","4","67.9666666","24.1166666","565.5","MUONIO SAMMALTUNTURI, FI","FM-12","99999","V020","089,1,N,0074,1","99999,9,9,9","002650,1,9,9","-0059,1","-0064,1","09783,1","71,1","7,1,99,9","0,1,99,9",,,"99999,9,09111,1","7,9,001,9,+999,9",,"0090,1","3,99,9999,9,999","SYN004BUFR",
"02821099999","2023-01-01T01:00:00","4","67.9666666","24.1166666","565.5","MUONIO SAMMALTUNTURI, FI","FM-12","99999","V020","073,1,N,0061,1","99999,9,9,9","003210,1,9,9","-0060,1","-0065,1","09786,1","71,1",,,,,"99999,9,09113,1",,,"0081,1","3,99,9999,9,999","SYN004BUFR",
"02821099999","2023-01-01T02:00:00","4","67.9666666","24.1166666","565.5","MUONIO SAMMALTUNTURI, FI","FM-12","99999","V020","064,1,N,0059,1","99999,9,9,9","001090,1,9,9","-0059,1","-0065,1","09788,1","74,1",,,,,"99999,9,09116,1",,,"0079,1","3,99,9999,9,999","SYN004BUFR",
"02821099999","2023-01-01T03:00:00","4","67.9666666","24.1166666","565.5","MUONIO SAMMALTUNTURI, FI","FM-12","99999","V020","037,1,N,0048,1","99999,9,9,9","001440,1,9,9","-0057,1","-0064,1","09792,1","71,1","7,1,99,9","0,1,99,9",,,"99999,9,09119,1","2,1,008,1,+999,9",,"0059,1","3,99,9999,9,999","SYN004BUFR",
"02821099999","2023-01-01T04:00:00","4","67.9666666","24.1166666","565.5","MUONIO SAMMALTUNTURI, FI","FM-12","99999","V020","010,1,N,0041,1","99999,9,9,9","002050,1,9,9","-0059,1","-0064,1","09793,1","71,1",,,,,"99999,9,09120,1",,,"0050,1","3,99,9999,9,999","SYN004BUFR",
"02821099999","2023-01-01T05:00:00","4","67.9666666","24.1166666","565.5","MUONIO SAMMALTUNTURI, FI","FM-12","99999","V020","302,1,N,0053,1","99999,9,9,9","000220,1,9,9","-0057,1","-0062,1","09796,1","72,1",,,,,"99999,9,09123,1",,,"0060,1","3,99,9999,9,999","SYN004BUFR",
"02821099999","2023-01-01T06:00:00","4","67.9666666","24.1166666","565.5","MUONIO SAMMALTUNTURI, FI","FM-12","99999","V020","318,1,N,0068,1","99999,9,9,9","000620,1,9,9","-0060,1","-0066,1","09804,1","72,1","7,1,99,9","5,1,99,9","120,M,-0055,1","120,N,-0060,1","99999,9,09130,1","2,1,011,1,+999,9",,"0085,1","3,99,9999,9,999","SYN004BUFR",
"02821099999","2023-01-01T07:00:00","4","67.9666666","24.1166666","565.5","MUONIO SAMMALTUNTURI, FI","FM-12","99999","V020","316,1,N,0076,1","99999,9,9,9","001030,1,9,9","-0062,1","-0068,1","09812,1","71,1",,,,,"99999,9,09137,1",,,"0088,1","3,99,9999,9,999","SYN004BUFR",
"02821099999","2023-01-01T08:00:00","4","67.9666666","24.1166666","565.5","MUONIO SAMMALTUNTURI, FI","FM-12","99999","V020","312,1,N,0080,1","99999,9,9,9","000440,1,9,9","-0062,1","-0068,1","09819,1","73,1",,,,,"99999,9,09143,1",,,"0091,1","3,99,9999,9,999","SYN004BUFR",
"02821099999","2023-01-01T09:00:00","4","67.9666666","24.1166666","565.5","MUONIO SAMMALTUNTURI, FI","FM-12","99999","V020","316,1,N,0089,1","99999,9,9,9","000480,1,9,9","-0060,1","-0067,1","09827,1","72,1","7,1,99,9","0,1,99,9",,,"99999,9,09151,1","2,1,021,1,+999,9",,"0104,1","3,99,9999,9,999","SYN004BUFR",
"02821099999","2023-01-01T10:00:00","4","67.9666666","24.1166666","565.5","MUONIO SAMMALTUNTURI, FI","FM-12","99999","V020","313,1,N,0108,1","99999,9,9,9","000730,1,9,9","-0057,1","-0064,1","09833,1","71,1",,,,,"99999,9,09158,1",,,"0128,1","3,99,9999,9,999","SYN004BUFR",
"02821099999","2023-01-01T11:00:00","4","67.9666666","24.1166666","565.5","MUONIO SAMMALTUNTURI, FI","FM-12","99999","V020","310,1,N,0121,1","99999,9,9,9","000240,1,9,9","-0049,1","-0053,1","09838,1","73,1",,,,,"99999,9,09165,1",,,"0137,1","3,99,9999,9,999","SYN004BUFR",
