"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","MD1","REM","EQD"
"03396199999","2023-01-01T00:00:00","4","53.567","0.117","7.0","SPURN HEAD POINT, UK","FM-13","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+0086,1","+9999,9","09979,1","2,1,020,1,+999,9","SYN06603380 01004 99536 10001 46/// /23// 10086 20100 49979 52020 22200=",
"03396199999","2023-01-01T01:00:00","4","53.567","0.117","7.0","SPURN HEAD POINT, UK","FM-13","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+0090,1","+9999,9","09979,1","1,1,015,1,+999,9","SYN06603380 01014 99536 10001 46/// /19// 10090 20104 49979 51015 22200=",
"03396199999","2023-01-01T02:00:00","4","53.567","0.117","7.0","SPURN HEAD POINT, UK","FM-13","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+0093,1","+9999,9","09979,1","9,9,007,1,+999,9","SYN06603380 01024 99536 10001 46/// /21// 10093 20108 49979 50007 22200=",
"03396199999","2023-01-01T03:00:00","4","53.567","0.117","7.0","SPURN HEAD POINT, UK","FM-13","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+0095,1","+9999,9","09984,1","3,1,005,1,+999,9","SYN06603380 01034 99536 10001 46/// /22// 10095 20106 49984 53005 22200=",
"03396199999","2023-01-01T04:00:00","4","53.567","0.117","7.0","SPURN HEAD POINT, UK","FM-13","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+0089,1","+9999,9","09990,1","2,1,011,1,+999,9","SYN06603380 01044 99536 10001 46/// /22// 10089 20097 49990 52011 22200=",
"03396199999","2023-01-01T05:00:00","4","53.567","0.117","7.0","SPURN HEAD POINT, UK","FM-13","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+0083,1","+9999,9","09998,1","2,1,019,1,+999,9","SYN06603380 01054 99536 10001 46/// /22// 10083 20090 49998 52019 22200=",
"03396199999","2023-01-01T06:00:00","4","53.567","0.117","7.0","SPURN HEAD POINT, UK","FM-13","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+0079,1","+9999,9","10002,1","2,1,019,1,+999,9","SYN06603380 01064 99536 10001 46/// /22// 10079 20088 40002 52019 22200=",
"03396199999","2023-01-01T07:00:00","4","53.567","0.117","7.0","SPURN HEAD POINT, UK","FM-13","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+0080,1","+9999,9","10019,1","2,1,029,1,+999,9","SYN06603380 01074 99536 10001 46/// /22// 10080 20088 40019 52029 22200=",
"03396199999","2023-01-01T08:00:00","4","53.567","0.117","7.0","SPURN HEAD POINT, UK","FM-13","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+0080,1","+9999,9","10027,1","2,1,029,1,+999,9","SYN06603380 01084 99536 10001 46/// /22// 10080 20087 40027 52029 22200=",
"03396199999","2023-01-01T09:00:00","4","53.567","0.117","7.0","SPURN HEAD POINT, UK","FM-13","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+0079,1","+0079,1","10034,1","1,1,031,1,+999,9","SYN06603380 01094 99536 10001 46/// /21// 10079 20079 40034 51031 22200=",
