"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","OC1","OD1","OD2","OD3","REM","EQD"
"06331099999","2023-01-01T00:00:00","4","51.4833333","4.2","0.0","MAROLLEGAT, NL","FM-12","99999","V020","210,1,N,0130,1","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","99999,9",,"3,99,0190,1,999","4,99,0150,1,999","5,99,0140,1,999","SYN05606331 46/// /2113 333 91015 91119 91214 555 51117 51213=",
"06331099999","2023-01-01T01:00:00","4","51.4833333","4.2","0.0","MAROLLEGAT, NL","FM-12","99999","V020","200,1,N,0120,1","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","99999,9",,"3,99,0160,1,999","4,99,0150,1,999","5,99,0130,1,999","SYN04006331 46/// /2012 333 91015 91116 91213=",
"06331099999","2023-01-01T02:00:00","4","51.4833333","4.2","0.0","MAROLLEGAT, NL","FM-12","99999","V020","210,1,N,0130,1","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","99999,9",,"3,99,0160,1,999","4,99,0160,1,999","5,99,0130,1,999","SYN04006331 46/// /2113 333 91016 91116 91213=",
"06331099999","2023-01-01T03:00:00","4","51.4833333","4.2","0.0","MAROLLEGAT, NL","FM-12","99999","V020","200,1,N,0120,1","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","99999,9",,"3,99,0160,1,999","4,99,0140,1,999","5,99,0130,1,999","SYN05606331 46/// /2012 333 91014 91116 91213 555 51115 51213=",
"06331099999","2023-01-01T04:00:00","4","51.4833333","4.2","0.0","MAROLLEGAT, NL","FM-12","99999","V020","240,1,N,0110,1","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","99999,9",,"3,99,0140,1,999","4,99,0140,1,999","5,99,0120,1,999","SYN04006331 46/// /2411 333 91014 91114 91212=",
"06331099999","2023-01-01T05:00:00","4","51.4833333","4.2","0.0","MAROLLEGAT, NL","FM-12","99999","V020","210,1,N,0120,1","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","99999,9",,"3,99,0180,1,999","4,99,0150,1,999","5,99,0140,1,999","SYN04006331 46/// /2112 333 91015 91118 91214=",
"06331099999","2023-01-01T06:00:00","4","51.4833333","4.2","0.0","MAROLLEGAT, NL","FM-12","99999","V020","220,1,N,0100,1","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","99999,9",,"3,99,0180,1,999","4,99,0130,1,999","5,99,0140,1,999","SYN05606331 46/// /2210 333 91013 91118 91214 555 51115 51212=",
"06331099999","2023-01-01T07:00:00","4","51.4833333","4.2","0.0","MAROLLEGAT, NL","FM-12","99999","V020","210,1,N,0080,1","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","99999,9",,"3,99,0130,1,999","4,99,0100,1,999","5,99,0090,1,999","SYN04006331 46/// /2108 333 91010 91113 91209=",
"06331099999","2023-01-01T08:00:00","4","51.4833333","4.2","0.0","MAROLLEGAT, NL","FM-12","99999","V020","210,1,N,0100,1","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","99999,9",,"3,99,0130,1,999","4,99,0120,1,999","5,99,0100,1,999","SYN04006331 46/// /2110 333 91012 91113 91210=",
"06331099999","2023-01-01T09:00:00","4","51.4833333","4.2","0.0","MAROLLEGAT, NL","FM-12","99999","V020","220,1,N,0100,1","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","99999,9",,"3,99,0130,1,999","4,99,0120,1,999","5,99,0100,1,999","SYN05606331 46/// /2210 333 91012 91113 91210 555 51112 51210=",
"06331099999","2023-01-01T10:00:00","4","51.4833333","4.2","0.0","MAROLLEGAT, NL","FM-12","99999","V020","190,1,N,0050,1","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","99999,9",,"3,99,0110,1,999","4,99,0060,1,999","5,99,0090,1,999","SYN04006331 46/// /1905 333 91006 91111 91209=",
"06331099999","2023-01-01T11:00:00","4","51.4833333","4.2","0.0","MAROLLEGAT, NL","FM-12","99999","V020","210,1,N,0090,1","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","99999,9",,"3,99,0120,1,999","4,99,0120,1,999","5,99,0090,1,999","SYN04006331 46/// /2109 333 91012 91112 91209=",
"06331099999","2023-01-01T12:00:00","4","51.4833333","4.2","0.0","MAROLLEGAT, NL","FM-12","99999","V020","200,1,N,0070,1","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","99999,9",,"3,99,0140,1,999","4,99,0090,1,999","5,99,0100,1,999","SYN05606331 46/// /2007 333 91009 91114 91210 555 51114 51210=",
