"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","OC1","OD1","REM"
"08940099999","2023-06-18T17:00:00","4","42.4333333","1.6666666","1940.0","CAP DE RAC, SP","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,,"SYN004BUFR"
"08940099999","2023-07-18T16:00:00","4","42.4333333","1.6666666","1940.0","CAP DE RAC, SP","FM-12","99999","V020","250,1,N,0027,1","99999,9,9,9","999999,9,9,9","+0272,1","+0030,1","99999,9",,"3,99,0049,1,291","SYN004BUFR"
"08940099999","2023-07-28T01:00:00","4","42.4333333","1.6666666","1940.0","CAP DE RAC, SP","FM-12","99999","V020","348,1,N,0047,1","99999,9,9,9","999999,9,9,9","+0105,1","+0058,1","99999,9","0113,1","3,99,0113,1,337","SYN004BUFR"
"08940099999","2023-07-29T22:00:00","4","42.4333333","1.6666666","1940.0","CAP DE RAC, SP","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,,"SYN004BUFR"
"08940099999","2023-08-24T08:00:00","4","42.4333333","1.6666666","1940.0","CAP DE RAC, SP","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,,"SYN004BUFR"
"08940099999","2023-09-04T19:00:00","4","42.4333333","1.6666666","1940.0","CAP DE RAC, SP","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,,"SYN004BUFR"
"08940099999","2023-10-17T07:00:00","4","42.4333333","1.6666666","1940.0","CAP DE RAC, SP","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,,"SYN004BUFR"
"08940099999","2023-11-03T12:00:00","4","42.4333333","1.6666666","1940.0","CAP DE RAC, SP","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,,"SYN004BUFR"
"08940099999","2023-11-03T19:00:00","4","42.4333333","1.6666666","1940.0","CAP DE RAC, SP","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,,"SYN004BUFR"
"08940099999","2023-11-04T19:00:00","4","42.4333333","1.6666666","1940.0","CAP DE RAC, SP","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,,"SYN004BUFR"
"08940099999","2023-11-06T06:00:00","4","42.4333333","1.6666666","1940.0","CAP DE RAC, SP","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,,"SYN004BUFR"
"08940099999","2023-11-06T07:00:00","4","42.4333333","1.6666666","1940.0","CAP DE RAC, SP","FM-12","99999","V020","018,1,N,0009,1","99999,9,9,9","999999,9,9,9","-0025,1","-0030,1","99999,9",,"3,99,0013,1,355","SYN004BUFR"
