"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","ED1","GA1","GA2","GA3","GA4","GE1","GF1","MA1","MW1","MW2","MW3","OC1","REM","EQD"
"10502099999","2023-01-01T00:20:00","4","50.831167","6.658167","117.65","NORVENICH, GM","FM-15","99999","V020","190,1,N,0041,1","06706,1,9,N","009999,1,9,9","+0150,1","+0040,1","99999,9",,"02,1,+02438,1,99,9","07,1,+06706,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,02438,1,99,9,99,9","10120,1,99999,9",,,,,"MET063METAR ETNN 010020Z 19008KT 9999 FEW080 BKN220 15/04 Q1012 BLU+=",
"10502099999","2023-01-01T01:20:00","4","50.831167","6.658167","117.65","NORVENICH, GM","FM-15","99999","V020","200,1,N,0051,1","08839,1,9,N","009999,1,9,9","+0150,1","+0030,1","99999,9",,"04,1,+07315,1,99,9","07,1,+08839,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,07315,1,99,9,99,9","10120,1,99999,9",,,,"0103,1","MET066METAR ETNN 010120Z 20010G20KT 9999 SCT240 BKN290 15/03 Q1012 BLU+=",
"10502099999","2023-01-01T02:20:00","4","50.831167","6.658167","117.65","NORVENICH, GM","FM-15","99999","V020","200,1,N,0057,1","03962,1,C,N","009999,1,9,9","+0150,1","+0030,1","99999,9",,"04,1,+03353,1,99,9","04,1,+03962,1,99,9","07,1,+07925,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,03353,1,99,9,99,9","10130,1,99999,9",,,,,"MET070METAR ETNN 010220Z 20011KT 9999 SCT110 SCT130 BKN260 15/03 Q1013 BLU+=",
"10502099999","2023-01-01T03:20:00","4","50.831167","6.658167","117.65","NORVENICH, GM","FM-15","99999","V020","200,1,N,0046,1","03048,1,C,N","009999,1,9,9","+0150,1","+0040,1","99999,9",,"07,1,+03048,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,07,1,99,9,03048,1,99,9,99,9","10130,1,99999,9",,,,,"MET059METAR COR ETNN 010320Z 20009KT 9999 BKN100 15/04 Q1013 BLU=",
"10502099999","2023-01-01T04:20:00","4","50.831167","6.658167","117.65","NORVENICH, GM","FM-15","99999","V020","200,1,N,0041,1","03048,1,C,N","009999,1,9,9","+0150,1","+0040,1","99999,9",,"07,1,+03048,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,07,1,99,9,03048,1,99,9,99,9","10130,1,99999,9",,,,,"MET055METAR ETNN 010420Z 20008KT 9999 BKN100 15/04 Q1013 BLU=",
"10502099999","2023-01-01T05:20:00","4","50.831167","6.658167","117.65","NORVENICH, GM","FM-15","99999","V020","190,1,N,0041,1","03353,1,C,N","009999,1,9,9","+0140,1","+0050,1","99999,9",,"07,1,+03353,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,07,1,99,9,03353,1,99,9,99,9","10130,1,99999,9",,,,,"MET055METAR ETNN 010520Z 19008KT 9999 BKN110 14/05 Q1013 BLU=",
"10502099999","2023-01-01T06:20:00","4","50.831167","6.658167","117.65","NORVENICH, GM","FM-15","99999","V020","200,1,N,0041,1","02134,1,C,N","009999,1,9,9","+0140,1","+0050,1","99999,9",,"07,1,+02134,1,99,9","07,1,+03353,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,07,1,99,9,02134,1,99,9,99,9","10140,1,99999,9",,,,,"MET062METAR ETNN 010620Z 20008KT 9999 BKN070 BKN110 14/05 Q1014 BLU=",
"10502099999","2023-01-01T07:20:00","4","50.831167","6.658167","117.65","NORVENICH, GM","FM-15","99999","V020","200,1,N,0046,1","99999,9,9,N","009999,1,9,9","+0140,1","+0060,1","99999,9",,,,,,,,"10150,1,99999,9",,,,,"MET063METAR ETNN 010720Z AUTO 20009KT 9999 // ////// 14/06 Q1015 ///=",
"10502099999","2023-01-01T08:20:00","4","50.831167","6.658167","117.65","NORVENICH, GM","FM-15","99999","V020","210,1,N,0046,1","99999,9,9,N","009999,1,9,9","+0140,1","+0070,1","99999,9",,,,,,,,"10160,1,99999,9",,,,,"MET063METAR ETNN 010820Z AUTO 21009KT 9999 // ////// 14/07 Q1016 ///=",
"10502099999","2023-01-01T09:20:00","4","50.831167","6.658167","117.65","NORVENICH, GM","FM-15","99999","V020","200,1,N,0041,1","99999,9,9,N","007000,1,9,9","+0140,1","+0070,1","99999,9",,,,,,,,"10160,1,99999,9",,,,,"MET063METAR ETNN 010920Z AUTO 20008KT 7000 // ////// 14/07 Q1016 ///=",
