"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","AJ1","AL1","AY1","AY2","AZ1","AZ2","GA1","GA2","GA3","GE1","GF1","IA1","IA2","KA1","MA1","MD1","MW1","OC1","OD1","REM","EQD"
"17070099999","2023-01-01T06:00:00","4","40.7333333","31.6","743.0","BOLU, TU","FM-12","99999","V020","999,9,C,0000,1","00150,1,W,N","000500,1,9,9","-0012,1","-0016,1","10352,1","12,0000,9,1",,,,"4,1,02,1","2,1,02,1",,,"09,1,+00150,1,99,9",,,"9,AGL   ,+99999,+99999","09,99,1,09,1,99,9,00150,1,99,9,99,9",,,"240,N,-0018,1","99999,9,09452,1","2,1,012,1,+999,9","47,1",,"3,99,0010,1,999","SYN10017070 11/05 90000 11012 21016 39452 40352 52012 60002 74742 333 21018 34104 55002 20310 89/05 91102=",
"17070099999","2023-01-01T07:00:00","4","40.7333333","31.6","743.0","BOLU, TU","FM-12","99999","V020","999,9,C,0000,1","00120,1,W,N","000400,1,9,9","-0018,1","-0022,1","10357,1",,,,,"4,1,02,1","4,1,02,1",,,,,,,"09,99,1,99,9,99,9,99999,9,99,9,99,9",,,,"99999,9,09454,1","2,1,011,1,+999,9","47,1",,,"SYN05417070 41/04 90000 11018 21022 39454 40357 52011 74744=",
"17070099999","2023-01-01T08:00:00","4","40.7333333","31.6","743.0","BOLU, TU","FM-12","99999","V020","999,9,C,0000,1","00060,1,W,N","000300,1,9,9","-0014,1","-0018,1","10358,1",,,,,"4,1,02,1","4,1,02,1",,,,,,,"09,99,1,99,9,99,9,99999,9,99,9,99,9",,,,"99999,9,09453,1","9,9,004,1,+999,9","47,1",,,"SYN05417070 41/03 90000 11014 21018 39453 40358 50004 74744=",
"17070099999","2023-01-01T09:00:00","4","40.7333333","31.6","743.0","BOLU, TU","FM-12","99999","V020","999,9,C,0000,1","00240,1,W,N","000800,1,9,9","+0005,1","+0000,1","10354,1",,,,,"4,1,02,1","4,1,02,1",,,"09,1,+00240,1,99,9",,,"9,AGL   ,+99999,+99999","09,99,1,09,1,99,9,00240,1,99,9,99,9",,,,"99999,9,09451,1","8,1,001,1,+999,9","43,1",,"3,99,0010,1,999","SYN07017070 41/08 90000 10005 20000 39451 40354 58001 74344 333 89/08 91102=",
"17070099999","2023-01-01T10:00:00","4","40.7333333","31.6","743.0","BOLU, TU","FM-12","99999","V020","999,9,V,0005,1","99999,9,9,N","012000,1,9,9","+0025,1","+0017,1","10345,1",,,,,"4,1,02,1","2,1,02,1",,,,,,,,,,,"99999,9,09445,1","7,1,009,1,+999,9","28,1",,,"SYN05417070 41962 09901 10025 20017 39445 40345 57009 72842=",
"17070099999","2023-01-01T11:00:00","4","40.7333333","31.6","743.0","BOLU, TU","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","015000,1,9,9","+0066,1","+0009,1","10332,1",,,,,,,,,,,,,,,,,"99999,9,09438,1","7,1,015,1,+999,9",,,,"SYN04817070 42965 00000 10066 20009 39438 40332 57015=",
"17070099999","2023-01-01T12:00:00","4","40.7333333","31.6","743.0","BOLU, TU","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","013000,1,9,9","+0093,1","+0012,1","10323,1","06,0000,9,1",,,,,,,,,,,,,,,,"99999,9,09432,1","7,1,019,1,+999,9",,,"3,99,0026,1,999","SYN06417070 12963 00000 10093 20012 39432 40323 57019 60001 333 91105=",
"17070099999","2023-01-01T13:00:00","4","40.7333333","31.6","743.0","BOLU, TU","FM-12","99999","V020","130,1,N,0005,1","99999,9,9,N","015000,1,9,9","+0081,1","+0001,1","10324,1",,,,,,,,,,,,,,,,,"99999,9,09431,1","7,1,014,1,+999,9",,,,"SYN04817070 42965 01301 10081 20001 39431 40324 57014=",
"17070099999","2023-01-01T14:00:00","4","40.7333333","31.6","743.0","BOLU, TU","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","015000,1,9,9","+0081,1","-0017,1","10327,1",,,,,,,,,,,,,,,,,"99999,9,09433,1","5,1,005,1,+999,9",,,,"SYN04817070 42965 00000 10081 21017 39433 40327 55005=",
"17070099999","2023-01-01T15:00:00","4","40.7333333","31.6","743.0","BOLU, TU","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","015000,1,9,9","+0059,1","+0002,1","10335,1",,,,,,,,,,,,,,,,,"99999,9,09436,1","3,1,004,1,+999,9",,,"3,99,0010,1,999","SYN05817070 42965 00000 10059 20002 39436 40335 53004 333 91102=",
"17070099999","2023-01-01T16:00:00","4","40.7333333","31.6","743.0","BOLU, TU","FM-12","99999","V020","999,9,V,0005,1","99999,9,9,N","015000,1,9,9","+0047,1","+0008,1","10343,1",,,,,,,,,,,,,,,,,"99999,9,09441,1","2,1,010,1,+999,9",,,,"SYN04817070 42965 09901 10047 20008 39441 40343 52010=",
"17070099999","2023-01-01T17:00:00","4","40.7333333","31.6","743.0","BOLU, TU","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","015000,1,9,9","+0028,1","+0003,1","10348,1",,,,,,,,,,,,,,,,,"99999,9,09443,1","2,1,010,1,+999,9",,,,"SYN04817070 42965 00000 10028 20003 39443 40348 52010=",
"17070099999","2023-01-01T18:00:00","4","40.7333333","31.6","743.0","BOLU, TU","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","015000,1,9,9","+0017,1","-0004,1","10355,1","12,0000,9,1",,,,,,,,,,,,,,,"120,M,+0098,1","99999,9,09447,1","2,1,011,1,+999,9",,,"3,99,0010,1,999","SYN07017070 12965 00000 10017 21004 39447 40355 52011 60002 333 10098 91102=",
"17070099999","2023-01-02T06:00:00","4","40.7333333","31.6","743.0","BOLU, TU","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","015000,1,9,9","-0040,1","-0054,1","10359,1","12,0000,9,1",,,,,,,,,,,,,,,"240,N,-0040,1","99999,9,09446,1","1,1,006,1,+999,9",,,,"SYN08217070 12965 00000 11040 21054 39446 40359 51006 60002 333 21040 34108 55041 20636=",
"17070099999","2023-01-02T07:00:00","4","40.7333333","31.6","743.0","BOLU, TU","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","015000,1,9,9","-0029,1","-0041,1","10360,1",,,,,,,,,,,,,,,,,"99999,9,09448,1","2,1,004,1,+999,9",,,,"SYN04817070 42965 00000 11029 21041 39448 40360 52004=",
"17070099999","2023-01-02T08:00:00","4","40.7333333","31.6","743.0","BOLU, TU","FM-12","99999","V020","120,1,N,0005,1","99999,9,9,N","015000,1,9,9","-0003,1","-0036,1","10356,1",,,,,,,,,,,,,,,,,"99999,9,09448,1","2,1,002,1,+999,9",,,,"SYN04817070 42965 01201 11003 21036 39448 40356 52002=",
"17070099999","2023-01-02T09:00:00","4","40.7333333","31.6","743.0","BOLU, TU","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","015000,1,9,9","+0032,1","-0020,1","10341,1",,,,,,,,,,,,,,,,,"99999,9,09439,1","8,1,007,1,+999,9",,,"3,99,0010,1,999","SYN05817070 42965 00000 10032 21020 39439 40341 58007 333 91102=",
