"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","GA1","GA2","GA3","GE1","GF1","MA1","MW1","REM"
"40712799999","2023-01-18T07:00:00","4","32.434444","48.39764","144.47","DEZFUL, IR","FM-15","99999","V020","999,9,C,0000,1","00762,1,C,N","002000,1,9,9","+0110,1","+0110,1","99999,9","07,1,+00762,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,07,1,99,9,00762,1,99,9,99,9","10210,1,99999,9","10,1","MET060METAR OIAD 180700Z 00000KT 2000 BR BKN025 11/11 Q1021 A3017="
"40712799999","2023-01-23T02:00:00","4","32.434444","48.39764","144.47","DEZFUL, IR","FM-15","99999","V020","999,9,C,0000,1","99999,9,9,N","000200,1,9,9","+0110,1","+0110,1","99999,9",,,,,"09,99,1,99,9,99,9,99999,9,99,9,99,9","10210,1,99999,9","44,1","MET059METAR OIAD 230200Z 00000KT 0200 FG VV/// 11/11 Q1021 A3015="
"40712799999","2023-01-23T03:00:00","4","32.434444","48.39764","144.47","DEZFUL, IR","FM-15","99999","V020","999,9,C,0000,1","99999,9,9,N","000800,1,9,9","+0110,1","+0110,1","99999,9",,,,,"09,99,1,99,9,99,9,99999,9,99,9,99,9","10210,1,99999,9","44,1","MET059METAR OIAD 230300Z 00000KT 0800 FG VV/// 11/11 Q1021 A3016="
"40712799999","2023-01-23T05:00:00","4","32.434444","48.39764","144.47","DEZFUL, IR","FM-15","99999","V020","999,9,C,0000,1","00762,1,C,N","000500,1,9,9","+0110,1","+0110,1","99999,9","08,1,+00762,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,08,1,99,9,00762,1,99,9,99,9","10220,1,99999,9","44,1","MET060METAR OIAD 230500Z 00000KT 0500 FG OVC025 11/11 Q1022 A3019="
"40712799999","2023-01-26T04:00:00","4","32.434444","48.39764","144.47","DEZFUL, IR","FM-15","99999","V020","999,9,C,0000,1","03048,1,9,N","001000,1,9,9","+0070,1","+0060,1","99999,9","02,1,+01067,1,99,9","07,1,+03048,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,01067,1,99,9,99,9","10200,1,99999,9","10,1","MET067METAR OIAD 260400Z 00000KT 1000 BR FEW035 BKN100 07/06 Q1020 A3012="
"40712799999","2023-01-31T01:00:00","4","32.434444","48.39764","144.47","DEZFUL, IR","FM-15","99999","V020","999,9,C,0000,1","02743,1,9,N","004000,1,9,9","+0140,1","+0110,1","99999,9","02,1,+01067,1,09,1","02,1,+01219,1,99,9","08,1,+02743,1,99,9","9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,01067,1,99,9,99,9","10140,1,99999,9","10,1","MET076METAR OIAD 310100Z 00000KT 4000 BR FEW035CB FEW040 OVC090 14/11 Q1014 A2997="
"40712799999","2023-01-31T02:00:00","4","32.434444","48.39764","144.47","DEZFUL, IR","FM-15","99999","V020","999,9,C,0000,1","01219,1,C,N","005000,1,9,9","+0140,1","+0110,1","99999,9","02,1,+01067,1,09,1","04,1,+01219,1,99,9","07,1,+03048,1,99,9","9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,01067,1,99,9,99,9","10140,1,99999,9","10,1","MET076METAR OIAD 310200Z 00000KT 5000 BR FEW035CB SCT040 BKN100 14/11 Q1014 A2997="
"40712799999","2023-02-03T05:00:00","4","32.434444","48.39764","144.47","DEZFUL, IR","FM-15","99999","V020","999,9,C,0000,1","22000,1,9,N","008000,1,9,9","+0080,1","+0070,1","99999,9",,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10230,1,99999,9",,"MET054METAR OIAD 030500Z 00000KT 8000 NSC 08/07 Q1023 A3022="
"40712799999","2023-02-03T06:00:00","4","32.434444","48.39764","144.47","DEZFUL, IR","FM-15","99999","V020","330,1,N,0041,1","99999,9,9,Y","009900,5,9,9","+0130,1","+0080,1","99999,9",,,,,,"10230,1,99999,9",,"MET051METAR OIAD 030600Z 33008KT CAVOK 13/08 Q1023 A3024="
"40712799999","2023-02-03T14:00:00","4","32.434444","48.39764","144.47","DEZFUL, IR","FM-15","99999","V020","999,9,C,0000,1","99999,9,9,Y","009900,5,9,9","+0180,1","+0060,1","99999,9",,,,,,"10210,1,99999,9",,"MET051METAR OIAD 031400Z 00000KT CAVOK 18/06 Q1021 A3018="
