"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","REM"
"64661099999","2023-01-03T12:10:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-01-03T12:14:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-01-03T15:10:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-01-03T15:14:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-01-03T18:10:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-01-03T18:15:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-01-03T21:10:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-01-03T21:15:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-01-04T00:10:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-01-04T00:28:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-01-04T03:10:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-01-04T03:14:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-01-04T06:10:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-01-04T06:14:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-01-04T09:10:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-01-04T09:14:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-01-04T12:10:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-01-04T12:14:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-01-04T15:10:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-01-04T15:14:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-01-04T18:10:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-01-04T18:14:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-01-04T21:10:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-01-04T21:15:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-01-05T00:10:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-01-05T00:51:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-01-05T03:10:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-01-05T03:16:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-01-05T06:10:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-01-05T06:14:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-01-05T09:10:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-01-05T09:14:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-01-05T12:10:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-01-05T12:14:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-01-05T15:10:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-01-05T15:14:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-01-05T18:10:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-01-05T18:14:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-01-05T21:10:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-01-05T21:14:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-01-06T00:10:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-01-06T00:14:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-01-06T03:10:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-01-06T03:14:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-01-06T06:10:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-01-06T06:14:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-01-06T09:10:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-01-06T09:14:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-01-06T12:10:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-01-06T12:14:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-01-06T15:10:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-01-06T15:14:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-01-06T18:10:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-01-06T18:14:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-01-06T21:10:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-01-06T21:14:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-01-07T00:10:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-01-07T00:14:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-01-07T03:10:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-01-07T03:14:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-01-07T04:24:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-01-07T04:51:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-01-07T06:10:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-01-07T06:14:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-01-07T09:10:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-01-07T09:14:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-01-07T12:10:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-01-07T12:14:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-01-07T15:10:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-01-07T15:14:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-01-07T18:10:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-01-07T18:14:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-01-07T21:10:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-01-07T21:14:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-01-08T00:10:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-01-08T00:14:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-01-08T03:10:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-01-08T03:14:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
"64661099999","2023-01-08T06:10:00","4","6.5","23.2666667","602.0","YALINGA, CT","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","SYN004BUFR"
